model,nh,f1,f2,f3,f
abs_pl,0.0,8.972901743907378e-14,1.2818128650089227e-13,9.357199363253245e-13,1.1536302402652908e-12
abs_pl,0.05025125628140704,6.26590341507054e-14,1.2149047827291129e-13,9.324301581147613e-13,1.1165796705383783e-12
abs_pl,0.10050251256281408,4.6038979940139164e-14,1.152363516032348e-13,9.291700869295057e-13,1.0904454184728796e-12
abs_pl,0.15075376884422112,3.491789410755879e-14,1.0938505077465454e-13,9.259393161908036e-13,1.0702422610730169e-12
abs_pl,0.20100502512562815,2.705283228162065e-14,1.0390566343144714e-13,9.227374458349212e-13,1.0536959415479888e-12
abs_pl,0.2512562814070352,2.1284442353795164e-14,9.876994528635953e-14,9.195640822000504e-13,1.0396184698402052e-12
abs_pl,0.30150753768844224,1.6945415129621154e-14,9.39520718359227e-14,9.164188379152822e-13,1.027316324880826e-12
abs_pl,0.35175879396984927,1.3619854057746982e-14,8.942841434616866e-14,9.133013317915988e-13,1.0163496001955145e-12
abs_pl,0.4020100502512563,1.1033475029380664e-14,8.517733765498615e-14,9.102111887148556e-13,1.0064220013992225e-12
abs_pl,0.45226130653266333,8.997909419915106e-15,8.11790175914927e-14,9.071480395407079e-13,9.973249665521156e-13
abs_pl,0.5025125628140704,7.379845573392031e-15,7.741527604014531e-14,9.041115209914507e-13,9.889066426049881e-13
abs_pl,0.5527638190954774,6.0827130685694244e-15,7.386943188071645e-14,9.011012755547343e-13,9.8105342050402e-13
abs_pl,0.6030150753768845,5.0352281307465566e-15,7.052616621729152e-14,8.981169513841183e-13,9.736783457321564e-13
abs_pl,0.6532663316582915,4.183939092805884e-15,6.737140047237162e-14,8.951582022014328e-13,9.667135417666102e-13
abs_pl,0.7035175879396985,3.48822250424476e-15,6.439218606802877e-14,8.922246872009109e-13,9.601050957731845e-13
abs_pl,0.7537688442211056,2.9168398722192435e-15,6.157660454667445e-14,8.893160709550585e-13,9.53809515373952e-13
abs_pl,0.8040201005025126,2.4455192100760857e-15,5.891367710098451e-14,8.864320233222299e-13,9.477912196332906e-13
abs_pl,0.8542713567839196,2.0552265092113958e-15,5.6393282587321196e-14,8.835722193558793e-13,9.420207284524118e-13
abs_pl,0.9045226130653267,1.7309114230780685e-15,5.4006083190895157e-14,8.807363392154507e-13,9.364733338294239e-13
abs_pl,0.9547738693467337,1.4605847267053067e-15,5.1743456995069637e-14,8.779240680788824e-13,9.311281098006572e-13
abs_pl,1.0050251256281408,1.2346315206620018e-15,4.9597436782653585e-14,8.751350960566912e-13,9.259671643600068e-13
abs_pl,1.0552763819095479,1.0452942691185634e-15,4.756065446467798e-14,8.723691181076086e-13,9.209750668414053e-13
abs_pl,1.105527638190955,8.862797230066152e-16,4.5626290592822485e-14,8.696258339557393e-13,9.161384042715684e-13
abs_pl,1.155778894472362,7.524572466786387e-16,4.378802846608749e-14,8.669049480092141e-13,9.114454337219803e-13
abs_pl,1.206030150753769,6.396252960161954e-16,4.204001239114722e-14,8.642061692803091e-13,9.068858069674724e-13
abs_pl,1.256281407035176,5.443292099635398e-16,4.037680969965599e-14,8.615292113070014e-13,9.024503502166209e-13
abs_pl,1.306532663316583,4.637179913483854e-16,3.8793376165135373e-14,8.58873792075941e-13,8.981308862324247e-13
