Be_star,Type,RA,DEC,Xcat,Xidentifier,Gamma,e_Gamma,E_Gamma,Fb,e_Fb,E_Fb,Fs,e_Fs,E_Fs,Fm,e_Fm,E_Fm,Fh,e_Fh,E_Fh,HRms,e_HRms,E_HRms,HRhm,e_HRhm,E_HRhm,DR3Name,Plx,RPlx,PM,e_PM,epsi,sepsi,RUWE,G,e_G,BP,e_BP,RP,e_RP,Teff,Gflux,e_Gflux,E_Gflux,dist,e_dist,E_dist,J,e_J,H,e_H,K,e_K,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Vsini,Vtran,e_Vtran,E_Vtran,LX,e_LX,E_LX,fX2O,e_fX2O,E_fX2O,match_flag,Class,ref
V558 Lyr,B3Ve,291.9016509,37.94117557,XMM,J192736.3+375628,,,,1.67e-12,4e-14,4e-14,2.7e-13,1e-14,1e-14,3.02e-13,8e-15,8e-15,1.1e-12,4e-14,4e-14,0.06,0.02,0.02,0.57,0.04,0.04,Gaia DR3 2051905889641367296,1.7801,51.54,4.7,0.04,0.31,102.9,0.824,6.225,0.003,6.183,0.004,6.23,0.007,28980.0,3.278e-08,9e-11,9e-11,556.0,11.0,10.0,6.25,0.02,6.18,0.02,6.05,0.02,5.8,0.1,5.42,0.06,4.72,0.01,3.96,0.02,220.0,12.4,0.3,0.2,6.182168e+31,2.995687e+30,2.7242043e+30,5.1e-05,1e-06,1e-06,0,GCA,4
HD 344783,B0IVe,295.77827914,23.27008315,CXO,J194306.7+231612,,,,1.6e-14,7e-15,2e-14,1e-14,6e-15,6e-15,6e-15,3e-15,3e-15,1e-20,1e-20,1.845615e-14,-0.3,0.4,0.5,-1.0,3.2,3.2,Gaia DR3 2020088874998745600,-0.0906,-0.64,6.1,0.1,1.26,2522.0,8.287,9.72,0.003,9.906,0.003,9.274,0.004,28929.0,1.312e-09,3e-12,3e-12,,,,8.78,0.02,8.71,0.03,8.65,0.02,8.61,0.03,8.65,0.03,9.12,0.09,8.5,,,,,,,,,1.2e-05,5e-06,1.5e-05,0,star,
HD 190864,O7IIIe,301.4158261,35.60774586,XMM,J200539.8+353627,,,,1e-13,4e-15,4e-15,8.2e-14,3e-15,3e-15,1.7e-14,1e-15,1e-15,1e-15,2e-15,2e-15,-0.65,0.03,0.03,-0.9,0.2,0.2,Gaia DR3 2059070135632404992,0.5264,29.19,7.31,0.02,0.155,18.95,0.874,7.688,0.003,7.776,0.003,7.471,0.004,19715.0,8.52e-09,2e-11,2e-11,1818.0,58.0,59.0,7.26,0.02,7.28,0.02,7.26,0.02,7.2,0.03,7.27,0.02,7.17,0.02,6.67,0.08,100.0,63.0,2.0,2.0,3.9715856e+31,2.9238772e+30,2.967111e+30,1.18e-05,4e-07,4e-07,0,star,
HD 228256,Bpe,302.97652324,40.00820588,XRT,128863,2.3,0.4,0.8,2e-13,2e-14,2e-14,8e-14,1e-14,1e-14,3.9e-14,6e-15,6e-15,7e-14,1e-14,1e-14,-0.4,0.1,0.1,0.3,0.1,0.1,Gaia DR3 2062398391672763392,0.4373,35.68,5.71,0.01,0.09,11.15,1.008,9.951,0.006,10.32,0.01,9.39,0.02,37487.0,1.06e-09,6e-12,6e-12,2179.0,64.0,63.0,8.4,0.03,8.11,0.02,7.76,0.02,7.33,0.03,7.09,0.02,6.38,0.02,5.61,0.05,,59.0,2.0,2.0,1.120069e+32,1.2803136e+31,1.2756166e+31,0.00019,2e-05,2e-05,0,star,
HD 228438,B0.5IIIe,303.45950266,36.62290262,XMM,J201350.2+363722,,,,5e-15,2e-15,2e-15,3.3e-15,6e-16,6e-16,1.1e-15,3e-16,3e-16,1e-15,2e-15,2e-15,-0.5,0.2,0.2,-0.2,1.0,1.0,Gaia DR3 2060497129916833024,0.4262,16.98,6.91,0.03,0.243,51.03,1.491,8.116,0.003,8.364,0.003,7.675,0.004,35008.0,5.74e-09,2e-11,2e-11,2243.0,105.0,155.0,7.18,0.03,7.05,0.02,6.76,0.02,6.3,0.09,5.91,0.04,5.26,0.01,4.45,0.03,,73.0,3.0,5.0,3.1464743e+30,1.2408957e+30,1.2808492e+30,9e-07,3e-07,3e-07,0,star,
HD 228535,B2IVe,303.73052859,36.8535391,XMM,J201455.4+365111,,,,8e-15,6e-15,6e-15,9e-16,6e-16,6e-16,2.1e-15,7e-16,7e-16,5e-15,6e-15,6e-15,0.4,0.3,0.3,0.4,0.8,0.8,Gaia DR3 2060529153194842880,0.4296,30.43,6.53,0.02,0.128,23.8,1.22,10.045,0.003,10.421,0.005,9.492,0.009,31791.0,9.72e-10,3e-12,3e-12,2233.0,93.0,73.0,9.34,0.02,9.24,0.02,9.2,0.01,8.04,0.02,7.86,0.02,7.52,0.02,7.05,0.08,,69.0,3.0,2.0,5.0209497e+30,3.517436e+30,3.508166e+30,9e-06,6e-06,6e-06,1,star,
V2246 Cyg,B0Ve,308.06362686,37.6374324,XMM,J203215.2+373815,,,,1.682e-10,3e-13,3e-13,2.25e-13,5e-15,5e-15,2.94e-12,1e-14,1e-14,1.65e-10,3e-13,3e-13,0.858,0.006,0.006,0.965,0.003,0.003,Gaia DR3 2063791369815322752,0.3418,4.04,6.37,0.09,0.637,17.18,0.988,16.891,0.003,19.49,0.04,15.419,0.01,5190.0,1.775e-12,6e-15,6e-15,,,,12.05,0.02,10.84,0.02,10.07,0.02,9.18,0.02,8.81,0.02,7.17,0.03,6.1,0.07,,,,,,,,94.7,0.3,0.3,0,HMXB,3
V2188 Cyg,Be,308.32719691,41.25974459,CXO,J203318.5+411535,,,,2.3e-15,6e-16,6e-16,1e-20,1e-20,6.019e-17,5e-16,2e-16,2e-16,1.8e-15,6e-16,6e-16,1.0,0.5,0.5,0.5,0.3,0.3,Gaia DR3 2067783559095152768,0.5539,41.17,5.04,0.02,0.059,2.678,1.088,13.559,0.006,15.31,0.01,12.3,0.01,33804.0,3.82e-11,2e-13,2e-13,1667.0,43.0,44.0,9.41,0.02,8.58,0.02,7.98,0.01,7.19,0.05,6.81,0.02,6.21,0.03,5.96,,,40.0,1.0,1.0,7.742705e+29,1.9784264e+29,1.9904905e+29,6e-05,2e-05,2e-05,0,star,
W Del,A0Ve,309.41700757,18.28439534,XMM,J203740.1+181702,,,,1.3e-14,4e-15,4e-15,9e-15,2e-15,2e-15,2.8e-15,7e-16,7e-16,1e-15,4e-15,4e-15,-0.5,0.2,0.2,-0.4,1.0,1.0,Gaia DR3 1812558769663138176,1.2538,45.9,5.55,0.02,0.227,72.38,1.483,9.732,0.003,9.779,0.004,9.602,0.006,,1.297e-09,4e-12,4e-12,784.0,16.0,16.0,9.36,0.02,9.14,0.04,9.1,0.02,8.95,0.02,8.99,0.02,9.0,0.04,9.08,,30.0,20.6,0.4,0.4,9.864897e+29,2.9713353e+29,2.968991e+29,1e-05,3e-06,3e-06,0,star,
V1493 Cyg,A2Ve,313.01933292,44.62510682,XMM,J205204.7+443733,,,,5e-15,4e-15,4e-15,3e-16,4e-16,4e-16,7e-16,4e-16,4e-16,4e-15,4e-15,4e-15,0.4,0.6,0.6,0.7,1.1,1.1,Gaia DR3 2163147741628918144,0.8711,19.21,3.83,0.05,0.477,141.5,3.607,13.854,0.006,15.45,0.02,12.58,0.01,,2.91e-11,1e-13,1e-13,1103.0,55.0,61.0,10.23,0.02,9.06,0.03,8.12,0.02,6.48,0.07,5.65,0.05,3.33,0.01,1.84,0.02,,20.0,1.0,1.0,7.205226e+29,6.2214534e+29,6.231832e+29,0.0002,0.0001,0.0001,0,YSO,1
HD 198931,B1Vnne,313.04047666,44.43459682,CXO,J205209.7+442605,4.0,0.6,1.0,2.3e-14,4e-15,1.2e-14,1.2e-14,2e-15,2e-15,1.2e-14,2e-15,2e-15,1e-20,1e-20,1.193741e-14,0.0,0.2,0.1,-1.0,1.1,1.1,Gaia DR3 2162956598400314624,0.5433,2.47,3.2,0.2,2.059,3398.0,13.463,8.489,0.003,8.858,0.003,7.88,0.004,22381.0,4.07e-09,1e-11,1e-11,,,,7.13,0.02,6.86,0.03,6.53,0.02,6.17,0.08,5.7,0.04,5.08,0.02,4.22,0.03,,,,,,,,5.7e-06,9e-07,3e-06,0,star,
59 Cyg,B1.5Vnne,314.95652723,47.52095244,XMM,J205949.6+473115,,,,4.5e-14,4e-15,4e-15,4e-14,3e-15,3e-15,2.9e-15,7e-16,7e-16,2e-15,3e-15,3e-15,-0.86,0.09,0.09,-0.3,0.6,0.6,Gaia DR3 2163949388695291136,1.4681,3.99,8.8,0.4,2.931,10390.0,2.724,4.55,0.004,4.604,0.005,4.5,0.01,41342.0,1.534e-07,6e-10,6e-10,,,,4.7,0.3,4.46,0.08,4.3,0.3,4.0025,0.0002,3.2015,0.0005,,,,,379.0,,,,,,,2.9e-07,3e-08,3e-08,0,star,
GSC 03588-00834,B0Ve,315.89876969,45.75153283,CXO,J210335.6+454505,1.8,0.2,0.2,2.27e-13,9e-15,9e-15,6.5e-15,9e-16,9e-16,2.8e-14,2e-15,2e-15,1.93e-13,9e-15,9e-15,0.62,0.07,0.07,0.75,0.05,0.05,Gaia DR3 2162805896614571904,0.1309,10.11,4.72,0.01,0.0,0.0,1.09,13.774,0.006,14.48,0.02,12.95,0.02,29373.0,3.13e-11,2e-13,2e-13,6218.0,448.0,576.0,11.84,0.02,11.53,0.02,11.36,0.02,10.53,0.02,10.48,0.02,10.3,0.1,8.73,,,139.0,10.0,13.0,1.0523518e+33,1.5741504e+32,1.9940752e+32,0.0073,0.0003,0.0003,0,HMXB,1
