index,name_BeSS,mag_BeSS,type_BeSS,_RAJ2000_BeSS,_DEJ2000_BeSS,conf_flag,_q,_r_CSC,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,HRhm,HRhs,HRms,GamPL,NHPL,_r_XMM,_4XMM,Flux1,e_Flux1,Flux2,e_Flux2,Flux3,e_Flux3,Flux4,e_Flux4,Flux5,e_Flux5,Flux8,e_Flux8,Flux9,e_Flux9,HR1,e_HR1,HR2,e_HR2,HR3,e_HR3,HR4,e_HR4,_r_XRT,_2SXPS,CR0,E_CR0,e_CR0,SwiftHR1,SwiftHR2,CR1,e_CR1,CR2,E_CR2,e_CR2,CR3,E_CR3,e_CR3,PcstS0,FPO0,FPU0,Gam1,E_Gam1,e_Gam1,XRTsoft,XRTmed,XRThard,_RAJ2000_X,_DEJ2000_X,X_pos,Flux (0.3-1 keV),Flux (1-2 keV),Flux (2-10 keV),Gamma,X_flux,index_X,Source,_RAJ2000_gaia,_DEJ2000_gaia,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,epsi,sepsi,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag,abs_BPmag,_q_X,_r_X,conf_flag_X2O
1456,HD 100199,8.17,B0.5IIIne,172.77879166666668,-62.94692777777777,0,1456.0,0.235,J113106.9-625648,2.660139160646e-12,2.5638112912406e-12,1.3853484135923e-13,1.2921820840847e-14,0.0,,0.67208,0.93067,0.68582,0.065576,48.8438,,,,,,,,,,,,,,,,,,,,,,,,,0.54,53462.0,0.365,0.00335,-0.00335,0.623,0.532,0.0186,-0.000796,0.0808,0.00161,-0.00161,0.262,0.00284,-0.00284,0.0,3.109e-11,3.33e-11,0.3806,0.034345,-0.036224,1.602775111061244e-12,6.900010624011669e-12,2.2587214264927087e-11,172.778934998,-62.946931875,CXO,1.0043671410400835e-14,1.62951446292085e-13,5.35902652328816e-12,0.065576,CXO,46,5333660129603575808,172.7788004448642,-62.9469251248497,0.5732,0.0467,12.2744,6.25,-6.098,0.048,1.373,0.048,0.468,136.0,1.505,8.126811,0.002887,8.113963,0.003502,8.075031,0.005015,1731.27478,1619.39111,1870.4386,1536.59802,1457.02856,1756.77222,10013.0,-3.0778670128808674,46.0,0.321,
1479,HD 308829,10.49,B5e,174.743251,-63.476778,2,1479.0,,,,,,,,,,,,,,2.465,J113858.4-632838,2.85041e-15,6.96729e-16,2.95624e-14,1.52025e-15,6.73803e-14,2.22909e-15,6.15369e-14,3.70731e-15,9.32026e-14,1.61289e-14,2.52058e-13,1.68229e-14,1.59798e-13,4.17403e-15,0.847432,0.0334023,0.379786,0.026035,-0.479503,0.026248,-0.423765,0.0743066,,,,,,,,,,,,,,,,,,,,,,,,,174.74364306,-63.47744,XMM,2.4247062561589567e-14,6.73803e-14,1.3899388959746484e-13,2.0,XMM,105,5333574676913628032,174.7432510930844,-63.4767775318023,0.3197,0.0554,5.7662,5.953,-5.942,0.064,0.352,0.057,0.259,3.44,1.129,16.38316,0.010441,16.40597,0.079988,15.136759,0.047806,2869.37085,2478.62183,3452.35645,2733.64282,2462.12524,3138.38086,10033.0,4.117036590069695,105.0,2.498,4.0
1492,V801 Cen,8.94,B1Vne,177.00008333333332,-62.20691388888889,0,1492.0,0.185,J114800.0-621224,8.4882884778473e-12,7.3229277188784e-12,8.5656490833604e-13,4.1202405205558e-13,5.7326615417321e-14,,0.46471,0.56715,0.13866,0.83215,16.5067,,,,,,,,,,,,,,,,,,,,,,,,,6.42,154436.0,1.67,0.0312,-0.0312,0.627,0.357,0.0604,-0.0042,0.272,0.00929,-0.00929,0.589,0.0138,-0.0138,0.0,1.298e-10,1.40e-10,0.7942,0.057975,-0.059031,8.91028527645378e-12,3.886604328362011e-11,8.20236714399261e-11,177.000126115,-62.206866408,CXO,3.9261719235711094e-13,1.0579121405168888e-12,1.2246776302201447e-11,0.83215,CXO,47,5334823859608495104,177.0000893599194,-62.2069173281295,0.4754,0.0174,27.2655,6.428,-6.226,0.017,1.598,0.018,0.114,10.1,0.852,8.652682,0.003156,8.823288,0.004444,8.294997,0.010268,2063.11938,1975.95654,2143.86597,2049.01001,1985.73267,2111.28247,10033.0,-2.7493337932230393,47.0,0.226,
1509,V863 Cen,4.448,B6IIIe,182.02174999999997,-50.66126944444444,0,1509.0,,,,,,,,,,,,,,0.266,J120805.2-503940,1.92159e-14,2.16953e-15,5.13368e-14,3.10562e-15,2.11273e-14,2.05574e-15,7.29721e-15,2.14571e-15,3.04768e-16,2.37477e-15,1.0094e-13,5.81739e-15,1.05173e-13,5.41571e-15,0.540278,0.0449045,-0.419072,0.0463204,-0.772441,0.0618982,-0.967697,0.174988,,,,,,,,,,,,,,,,,,,,,,,,,182.02185111,-50.66130611,XMM,5.277838394107331e-14,2.11273e-14,6.828434180376419e-15,2.0,XMM,106,6126517517699891712,182.0217594422043,-50.6612709604733,9.1857,0.1923,47.7706,34.574,-32.587,0.132,-11.55,0.138,1.426,4540.0,1.44,4.397392,0.002927,4.340251,0.003086,4.552444,0.00443,108.944145,106.796333,110.868553,108.757874,106.604462,110.858009,10022.0,-0.8457684743102174,106.0,0.733,
1510,del Cen,2.561,B2Vne,182.0895833333333,-50.72242777777778,0,1510.0,,,,,,,,,,,,,,0.256,J120821.5-504320,1.9606e-14,2.48679e-15,5.68427e-14,3.66793e-15,1.27123e-14,1.81521e-15,1.80227e-15,1.34389e-15,5.08831e-15,6.62575e-15,9.90483e-14,8.64047e-15,9.71858e-14,5.78559e-15,0.579654,0.0472972,-0.636978,0.0465868,-0.891797,0.0725787,-0.254758,0.427744,,,,,,,,,,,,,,,,,,,,,,,,,182.08967306,-50.722385,XMM,5.718900680478467e-14,1.27123e-14,6.1894249094930474e-15,2.0,XMM,107,6126469654585981952,182.0896924586902,-50.7224315840784,5.7179,0.6516,8.7755,44.044,-42.613,0.413,-11.135,0.482,2.75,10100.0,3.221,2.508257,0.006114,2.883904,0.026306,2.631459,0.011911,187.458588,167.441025,212.209625,182.851196,162.146988,202.104065,10012.0,-3.480622707265437,107.0,0.725,
1537,BZ Cru,5.316,B0.5IVpe,190.7094583333333,-63.058625,0,1537.0,,,,,,,,,,,,,,0.32,J124250.3-630330,1.24563e-13,1.3173e-15,7.81984e-13,2.8729e-15,2.61717e-12,5.2686e-15,5.78674e-12,1.28081e-14,1.01546e-11,3.80813e-14,1.84274e-11,4.11075e-14,7.81607e-12,1.05645e-14,0.779334,0.0021774,0.586491,0.00135143,-0.045437,0.00137152,-0.221387,0.00171366,,,,,,,,,,,,,,,,,,,,,,,,,190.70961889,-63.05857389,XMM,6.781609438990737e-13,2.61717e-12,1.4319219410658883e-11,2.0,XMM,108,6055103928246312960,190.7094431531856,-63.0586258285117,2.2826,0.0765,29.8284,13.373,-12.857,0.07,-3.677,0.074,0.663,549.0,1.09,5.13685,0.003006,5.317963,0.004043,4.793645,0.005707,439.173645,424.144012,454.24054,443.522156,427.214355,460.941559,10033.0,-2.895218350123449,108.0,0.55,
1560,V850 Cen,13.4,B2Vne,195.32170833333333,-61.6019,0,1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,26238.0,1.42,0.00513,-0.00513,0.919,0.566,0.0136,-0.000501,0.333,0.00274,-0.00274,1.2,0.00478,-0.00478,0.0,1.174e-10,1.74e-10,,,,1.0655604192345566e-12,2.52445733890261e-11,9.108986619173935e-11,195.32092,-61.60133,XRT,1.0655604192345566e-12,2.52445733890261e-11,9.108986619173935e-11,2.0,XRT,148,5863533199843070208,195.3212370617118,-61.6018437643351,0.5395,0.0141,38.3186,4.347,-4.341,0.012,-0.236,0.015,0.089,10.3,1.017,12.647679,0.002886,13.952112,0.004534,11.519385,0.004795,1856.10498,1810.54553,1892.7334,1850.77478,1801.8158,1906.99597,10033.0,2.6090993201511026,148.0,1.913,
1563,CPD-63 2495,10.08,B2e,195.69858333333332,-63.83574166666667,0,1563.0,0.163,J130247.6-635008,9.7777567331011e-13,7.0824954229282e-13,1.8446712607459e-13,1.0016919680308e-13,1.0244067692004e-13,,0.14866,0.21736,0.07121,1.7948,33.9577,0.074,J130247.6-635008,3.09203e-14,4.95789e-16,2.71769e-13,1.45129e-15,9.11057e-13,2.68468e-15,1.74385e-12,6.35951e-15,3.57256e-12,1.8867e-14,6.5108e-12,2.01977e-14,2.83142e-12,5.50627e-15,0.80506,0.00209942,0.6448,0.00118653,-0.069618,0.00124446,-0.392271,0.00142151,0.27,16098.0,0.326,0.00187,-0.00187,0.728,0.183,0.0197,-0.000471,0.124,0.00115,-0.00115,0.182,0.00141,-0.00141,0.0,1.989e-11,2.59e-11,1.491,0.02693,-0.02693,1.2016765047479436e-12,7.634180147810466e-12,1.1054143347441591e-11,195.6985128,-63.835708915,CXO,1.2845311425973838e-13,2.457621432033963e-13,9.454994689358043e-13,1.7948,CXO,48,5862299960127967488,195.698560008077,-63.8357297137524,0.4434,0.0133,33.319,7.101,-7.093,0.012,-0.342,0.014,0.067,4.9,0.981,9.632835,0.00278,10.15393,0.00285,8.913,0.003799,2170.5105,2111.84595,2232.89746,2167.04053,2112.46411,2222.67432,10033.0,-1.5288794555523069,48.0,0.089,
1575,V955 Cen,7.97,B2IVne,198.54804166666665,-63.373736111111114,0,1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35,191415.0,0.0175,0.00467,-0.00467,-0.159,-0.118,0.0076,-0.00299,0.00537,0.00254,-0.00254,0.00407,0.00233,-0.00233,0.96,1.118e-12,1.79e-12,,,,4.864935196298428e-13,3.5301212252691787e-13,2.784943578432393e-13,198.55183,-63.37326,XRT,4.864935196298428e-13,3.5301212252691787e-13,2.784943578432393e-13,2.0,XRT,149,5862225193377914368,198.5480219234471,-63.3737385420438,0.8995,0.0211,42.6428,8.79,-8.16,0.017,-3.27,0.021,0.136,12.2,0.755,7.861507,0.003091,7.937854,0.005211,7.64825,0.005184,1092.97717,1063.50269,1120.67175,1083.12109,1058.04468,1103.75134,10033.0,-2.255201452719364,149.0,6.521,4.0
1591,HD 117357,9.14,O9.5Ve,202.81454166666666,-61.732616666666665,0,1591.0,,,,,,,,,,,,,,0.595,J133115.4-614357,5.18245e-16,3.32867e-16,3.46991e-15,7.6854e-16,0.0,4.20181e-16,2.56591e-16,1.16602e-15,5.79757e-15,9.35304e-15,1.10305e-14,9.60198e-15,5.67316e-15,1.53971e-15,0.739566,0.142126,-1.0,0.223636,1.0,13.2896,0.884712,0.442778,,,,,,,,,,,,,,,,,,,,,,,,,202.81424306,-61.73253111,XMM,2.9834205608929386e-15,0.0,5.43811622526425e-15,2.0,XMM,109,5868440492071967104,202.8145663732851,-61.732621154585,0.4427,0.0161,27.5289,6.093,-5.426,0.012,-2.771,0.016,0.11,15.0,0.914,9.029179,0.002793,9.121632,0.003055,8.802739,0.003954,2210.94141,2123.18384,2297.41089,2190.20679,2100.44604,2256.81421,10033.0,-2.6012541695854683,109.0,0.593,
