index,name_BeSS,mag_BeSS,type_BeSS,_RAJ2000_BeSS,_DEJ2000_BeSS,conf_flag,_q,_r_CSC,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,HRhm,HRhs,HRms,GamPL,NHPL,_r_XMM,_4XMM,Flux1,e_Flux1,Flux2,e_Flux2,Flux3,e_Flux3,Flux4,e_Flux4,Flux5,e_Flux5,Flux8,e_Flux8,Flux9,e_Flux9,HR1,e_HR1,HR2,e_HR2,HR3,e_HR3,HR4,e_HR4,_r_XRT,_2SXPS,CR0,E_CR0,e_CR0,SwiftHR1,SwiftHR2,CR1,e_CR1,CR2,E_CR2,e_CR2,CR3,E_CR3,e_CR3,PcstS0,FPO0,FPU0,Gam1,E_Gam1,e_Gam1,XRTsoft,XRTmed,XRThard,_RAJ2000_X,_DEJ2000_X,X_pos,Flux (0.3-1 keV),Flux (1-2 keV),Flux (2-10 keV),Gamma,X_flux,index_X,Source,_RAJ2000_gaia,_DEJ2000_gaia,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,epsi,sepsi,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag,abs_BPmag,_q_X,_r_X,conf_flag_X2O
1601,HD 119682,7.908,B0Ve,206.63570833333333,-62.92336944444444,0,1601.0,0.157,J134632.5-625523,9.100855907728e-13,6.8928329384921e-13,1.3547567807651e-13,9.4917423607223e-14,1.8967987692245e-14,,0.27108,0.22986,-0.04372,1.54956,21.7407,0.154,J134632.5-625524,1.81149e-14,7.26593e-16,1.04689e-13,1.60901e-15,2.55703e-13,2.58433e-15,4.57634e-13,5.74874e-15,7.86445e-13,1.69788e-14,1.57766e-12,1.83276e-14,7.37627e-13,5.18239e-15,0.737911,0.00959058,0.404723,0.00740658,-0.212558,0.00743205,-0.329525,0.0102065,2.74,194719.0,0.0626,0.0101,-0.0101,0.557,-0.221,0.00707,-0.00314,0.0303,0.00675,-0.00675,0.019,0.00539,-0.00539,0.019,2.363e-12,5.35e-12,2.381,0.67626,-0.44741,3.4970936000216695e-13,1.2291139357186771e-12,7.84176704279156e-13,206.635741587,-62.923328593,CXO,1.1231110365131957e-13,1.767607557958078e-13,9.678591747255503e-13,1.54956,CXO,49,5864664975280537728,206.6357123401353,-62.9233769128435,0.6055,0.0286,21.1397,5.259,-4.749,0.022,-2.261,0.023,0.255,69.6,0.946,8.518085,0.00638,8.513863,0.015549,8.429379,0.026808,1597.0271,1531.73108,1677.98022,1582.36389,1514.76367,1645.34595,10033.0,-2.5026984287844662,49.0,0.244,
1605,mu Cen,3.456,B2Vnpe,207.402686,-42.473011,2,1605.0,,,,,,,,,,,,,,1.061,J134936.7-422822,6.62796e-14,3.76328e-15,1.51592e-13,5.00388e-15,7.49001e-14,3.52522e-15,2.18449e-14,3.39893e-15,3.89662e-15,5.93378e-15,3.17747e-13,9.97663e-15,3.17272e-13,8.67703e-15,0.484293,0.025029,-0.348816,0.0251881,-0.801095,0.0292554,-0.934347,0.121023,,,,,,,,,,,,,,,,,,,,,,,,,207.40308111,-42.47296694,XMM,1.6298328702737032e-13,7.49001e-14,2.312217623134968e-14,2.0,XMM,110,6109087750134510464,207.4026860698847,-42.4730112806756,6.3058,0.0841,74.9449,32.056,-25.726,0.076,-19.125,0.071,0.558,350.0,4.202,12.38846,0.00666,11.258957,0.060971,10.922451,0.05307,158.004929,156.076599,159.589279,158.623245,156.459503,160.78006,10012.0,5.265603824591427,110.0,1.533,
1611,V767 Cen,5.83,B2Ve,208.48849999999996,-47.12816388888889,0,1611.0,,,,,,,,,,,,,,1.421,J135357.1-470741,1.42846e-13,5.55805e-15,4.08231e-13,8.23529e-15,6.34313e-13,1.01999e-14,1.04595e-12,2.14224e-14,1.51162e-12,5.21779e-14,3.74693e-12,5.84637e-14,2.02779e-12,2.16997e-14,0.565522,0.0148531,0.220793,0.0122157,-0.224949,0.0123515,-0.457467,0.0158125,,,,,,,,,,,,,,,,,,,,,,,,,208.48794111,-47.12827,XMM,4.1224437175465796e-13,6.34313e-13,2.2973229344659135e-12,2.0,XMM,111,6095347496917833472,208.4884990163536,-47.1281640570212,1.4567,0.0932,15.6326,8.782,-7.699,0.085,-4.225,0.1,0.585,437.0,1.559,6.110023,0.006613,6.029997,0.015185,6.160856,0.026363,677.693542,644.307495,717.461731,679.715759,641.356018,717.120117,10022.0,-3.1251697355106796,111.0,1.282,
1631,4U 1416-62,17.2,Be,215.30065,-62.698914,0,1631.0,0.321,J142112.1-624156,2.9798127815595e-13,2.8906414071862e-13,1.747216837311e-14,0.0,8.3178568088177e-14,,0.6446,0.99938,0.99938,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,192409.0,1.11,0.0164,-0.0164,0.883,0.779,0.00667,-0.0013,0.116,0.00498,-0.00498,0.788,0.0125,-0.0125,0.0,1.226e-10,1.87e-10,,,,8.360199764917296e-13,1.3454919792597663e-11,1.0830906023091061e-10,215.300589441,-62.698998672,CXO,0.0,2.370825519049881e-14,3.713637766260753e-13,2.0,CXO,50,5854175187710795136,215.3006501091776,-62.6989137111348,0.0633,0.0495,1.2793,4.706,-4.343,0.027,-1.811,0.044,0.274,12.0,1.035,16.191755,0.002823,17.230152,0.008246,14.935932,0.005304,7428.98535,5617.9585,10524.6807,5537.20166,4810.88867,6966.20508,10033.0,2.8755044904078417,50.0,0.279,
1658,CQ Cir,9.98,B1Ve,222.70937499999997,-60.286202777777774,0,1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,170159.0,0.104,0.00654,-0.00654,0.742,0.229,0.00492,-0.00142,0.0372,0.00395,-0.00395,0.0595,0.00496,-0.00496,1.41e-09,5.94e-12,9.24e-12,1.393,0.32454,-0.18803,3.2082520436241046e-13,2.166191883718291e-12,3.4529829119192988e-12,222.70906,-60.28552,XRT,3.2082520436241046e-13,2.166191883718291e-12,3.4529829119192988e-12,1.3930000066757202,XRT,150,5878184669002394880,222.7093871263873,-60.2862099120435,0.6079,0.0166,36.6025,4.611,-3.779,0.014,-2.642,0.013,0.092,15.3,1.019,9.555422,0.002853,10.043425,0.003384,8.866023,0.004432,1597.83374,1556.33545,1643.23975,1575.21802,1530.22351,1622.98083,10033.0,-0.9742329376024443,150.0,2.58,
1709,48 Lib,4.943,B8IIe,239.547375,-14.279358333333334,0,1709.0,,,,,,,,,,,,,,0.885,J155811.3-141645,6.37015e-16,1.48273e-16,4.02979e-16,1.33191e-16,1.68074e-16,1.1892e-16,1.39647e-16,2.94189e-16,6.31216e-15,1.85395e-15,1.75517e-13,2.68599e-15,3.84744e-16,1.7484e-16,-0.784253,0.00204645,-0.952978,0.00261724,-0.983895,0.0106581,0.783485,0.118398,,,,,,,,,,,,,,,,,,,,,,,,,239.54714306,-14.27925889,XMM,7.779886897087226e-16,1.68074e-16,5.79529951862421e-15,2.0,XMM,112,6263223955904774656,239.5473677100615,-14.279355864436,7.154,0.1218,58.753,21.363,-13.843,0.136,-16.271,0.096,0.702,760.0,0.863,4.74231,0.004434,4.725637,0.009676,4.740682,0.012733,138.949844,136.168488,141.400909,138.995316,136.924866,141.283661,10022.0,-0.9886533176404626,112.0,0.829,
1716,HD 143700,9.38,B1.5Vne,241.011158,-47.477649,2,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,122205.0,0.00599,0.00101,-0.00101,0.824,-0.133,0.000217,-0.000217,0.00328,0.000716,-0.000716,0.00229,0.000604,-0.000604,0.494,2.356e-13,1.31e-12,2.893,-1.0,-0.47834,1.221095469989146e-14,1.265498941625115e-13,9.683915113759705e-14,241.01106,-47.47757,XRT,1.221095469989146e-14,1.265498941625115e-13,9.683915113759705e-14,2.8929998874664307,XRT,151,5984774216749212672,241.0111584569873,-47.4776489989423,-0.007,0.2907,-0.024,6.576,-4.818,0.356,-4.476,0.256,0.728,3.08,1.052,18.68532,0.006282,19.157341,0.063574,17.11601,0.031211,4703.06982,2881.41821,7087.68115,3526.91187,2492.27075,5289.12939,10033.0,5.795433869170253,151.0,0.391,
1790,HD 153295,9.05,B2e,255.1052083333333,-42.316747222222226,0,1790.0,0.107,J170025.2-421900,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,116761.0,0.00272,0.000848,-0.000848,0.355,0.026,0.000437,-0.000356,0.00109,0.000473,-0.000473,0.000952,0.000563,-0.000563,0.961,1.439e-13,1.60e-13,1.424,0.72143,-0.58526,2.7080907247253785e-14,5.689089817058741e-14,5.992819458215881e-14,255.105201046,-42.316776517,CXO,2.7080907247253785e-14,5.689089817058741e-14,5.992819458215881e-14,1.4240000247955322,XRT,51,5966213219190201856,255.1051815236012,-42.3167444182064,0.6405,0.0229,27.9394,1.885,1.181,0.03,-1.47,0.023,0.109,12.9,1.023,8.707157,0.00299,9.097729,0.00416,8.094566,0.005289,1496.2207,1442.27551,1545.8429,1496.4989,1445.74377,1544.62158,10033.0,-1.7772492942555864,51.0,0.098,
1812,V1075 Sco,5.612,O8Ve,258.8302083333333,-33.54841944444444,0,1812.0,,,,,,,,,,,,,,0.021,J171519.2-333254,1.35792e-13,2.59605e-15,3.93196e-13,3.88785e-15,6.85774e-14,1.71049e-15,4.49348e-15,9.3766e-16,8.44353e-16,1.51022e-15,6.02871e-13,5.48789e-15,5.65453e-13,5.76089e-15,0.569894,0.00726353,-0.719255,0.00655043,-0.951039,0.0100013,-0.923834,0.116639,,,,,,,,,,,,,,,,,,,,,,,,,258.83020389,-33.548415,XMM,3.9572024549337573e-13,6.85774e-14,4.7946786094804786e-15,2.0,XMM,114,5979008205986483712,258.8301994480602,-33.5484164949419,0.9543,0.0872,10.9468,3.802,1.67,0.097,-3.415,0.072,0.462,226.0,0.817,5.6681,0.002917,5.634211,0.003219,5.673813,0.004983,1030.18945,931.148254,1175.09082,1036.87476,947.711182,1120.84937,10011.0,-4.430374490146385,114.0,0.061,
1827,gam Ara,3.312,B1IIe,261.3485833333333,-56.377725,0,1827.0,,,,,,,,,,,,,,0.634,J172523.7-562239,1.06912e-13,2.73732e-15,3.53864e-13,4.36559e-15,1.52862e-13,2.8935e-15,4.06173e-14,2.58322e-15,5.15277e-15,2.94399e-15,6.59326e-13,7.2067e-15,7.38591e-13,7.54201e-15,0.613503,0.00886848,-0.41348,0.0093485,-0.815782,0.0110809,-0.91477,0.0375582,,,,,,,,,,,,,,,,,,,,,,,,,261.34889111,-56.37776889,XMM,3.4469286985235146e-13,1.52862e-13,4.1112709143096875e-14,2.0,XMM,115,5922299347569528832,261.3485841393366,-56.3777302240445,3.9387,0.4422,8.9078,13.139,-3.583,0.253,-12.641,0.323,2.013,6390.0,2.488,3.304689,0.00357,3.302995,0.014002,3.372585,0.004337,259.563477,232.724625,290.243622,267.377106,242.611328,297.767426,10021.0,-3.768222915733003,115.0,0.672,
1829,V750 Ara,6.652,B2Vne,261.97837499999997,-47.02622222222222,0,1829.0,,,,,,,,,,,,,,0.711,J172754.7-470133,2.81285e-14,1.81119e-15,1.61278e-13,4.16191e-15,4.64879e-13,7.35444e-15,9.15021e-13,1.75401e-14,2.44589e-12,7.73868e-14,4.0038e-12,7.99243e-14,1.31706e-12,1.45858e-14,0.706839,0.0174157,0.445018,0.0121234,-0.180608,0.0119997,-0.194018,0.0177063,0.55,86038.0,0.0761,0.00305,-0.00305,-0.118,0.213,0.0198,-0.00141,0.0164,0.0013,-0.0013,0.0267,0.00168,-0.00168,0.000165,3.473e-12,3.48e-12,,,,1.155797842250704e-12,9.11819049074348e-13,1.405383108674948e-12,261.97816,-47.02609,XMM,1.4168938932081837e-13,4.64879e-13,3.018919490375148e-12,2.0,XMM,116,5951798797906183936,261.9783806045371,-47.0262214020176,0.9867,0.0518,19.0437,1.877,-0.938,0.053,-1.625,0.038,0.283,68.1,0.735,6.563528,0.003247,6.588638,0.005779,6.436725,0.006491,987.961792,937.627075,1058.42053,971.960754,923.233398,1018.36542,10023.0,-3.3850627459926654,116.0,0.725,
1838,Cl* NGC 6383 FJL 24,11.38,B9Ve,263.69975,-32.588969444444444,0,1838.0,,,,,,,,,,,,,,0.947,J173448.0-323520,9.76574e-16,4.9316e-16,5.7808e-15,1.04535e-15,6.62671e-15,1.08071e-15,2.35755e-15,1.35754e-15,1.94564e-15,2.67649e-15,1.67491e-14,3.45416e-15,3.95163e-14,3.02508e-15,0.760427,0.112638,0.130359,0.112142,-0.73235,0.114446,-0.466477,0.397252,,,,,,,,,,,,,,,,,,,,,,,,,263.70004806,-32.58889111,XMM,5.054991225076097e-15,6.62671e-15,3.8653163269683225e-15,2.0,XMM,117,4054618589653638784,263.6997505568723,-32.5889613040127,0.7069,0.0388,18.2159,3.077,2.402,0.04,-1.923,0.031,0.253,72.5,1.512,11.266541,0.002893,11.398829,0.002918,11.014829,0.003891,1347.90796,1285.08069,1426.56824,1317.71411,1243.51074,1406.30774,10033.0,0.7505278098818895,117.0,0.909,
1851,V3892 Sgr,8.69,Oe,266.19075,-27.229027777777777,0,1851.0,0.085,J174445.7-271344,9.2545058436685e-13,6.966094127931e-13,1.7257746833105e-13,7.0113304845422e-14,0.0,,0.17489,0.29232,0.12117,1.68804,34.7215,1.354,J174445.6-271344,7.1466e-15,4.99948e-16,6.64364e-14,1.42627e-15,2.17762e-13,2.73753e-15,4.69717e-13,6.90596e-15,7.83247e-13,1.83568e-14,1.53885e-12,1.98996e-14,6.25891e-13,5.47558e-15,0.797074,0.0128112,0.500925,0.00915361,-0.140665,0.00926467,-0.409862,0.0112388,,,,,,,,,,,,,,,,,,,,,,,,,266.190723409,-27.229025655,CXO,8.678059793459952e-14,2.2780986437830815e-13,9.50053452385921e-13,1.68804,CXO,52,4060784345959549184,266.1906902651144,-27.2290219323555,0.7873,0.0237,33.2219,2.451,-0.857,0.024,-2.296,0.016,0.087,4.67,0.803,8.234564,0.003204,8.511403,0.006559,7.735419,0.005686,1207.56238,1177.92114,1241.23218,1215.50806,1178.05664,1260.56714,10033.0,-1.8981448734739867,52.0,0.122,
1858,HD 316341,9.06,B0Ve,267.14804166666664,-29.95800277777778,0,1858.0,0.446,J174835.5-295729,,,,,,9.8146360949518e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,175809.0,0.00297,0.00178,-0.00178,0.478,0.535,0.0,0.0,0.00061,0.000853,-0.00061,0.00254,0.00153,-0.00153,0.571,1.767e-13,2.70e-13,,,,1.3408568713208055e-14,3.796525777417913e-14,1.2532617351261283e-13,267.14749,-29.95877,XRT,1.3408568713208055e-14,3.796525777417913e-14,1.2532617351261283e-13,2.0,XRT,53,4057180662233441536,267.1480534648369,-29.9579971651376,0.6098,0.0213,28.6167,1.581,1.236,0.02,-0.986,0.013,0.066,3.59,0.82,9.640618,0.003031,9.841462,0.005035,9.266439,0.006185,1554.88647,1493.92285,1612.42847,1502.33765,1449.15601,1585.83203,10033.0,-1.1170314225940086,53.0,3.288,
1868,HD 316520,10.79,B5IVnne,268.01420833333333,-28.758669444444443,0,1868.0,0.927,J175203.4-284530,3.4311623255191e-13,3.1363513714255e-13,3.2932926269368e-14,8.7744752550771e-15,0.0,,0.02249,0.35728,0.31855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.014232004,-28.758412641,CXO,1.2066940975270053e-14,4.468719643096487e-14,4.029303971165036e-13,2.0,CXO,54,4057351464551123328,268.0141775856093,-28.7586167107355,0.5076,0.0179,28.3955,0.551,-0.275,0.018,-0.478,0.012,0.0,0.0,0.688,10.620366,0.002919,10.810089,0.004089,10.265756,0.004866,1852.90283,1782.70874,1930.07678,1869.31995,1811.20959,1918.97534,10033.0,-0.5291742231424532,54.0,0.763,
1873,V771 Sgr,8.76,Oe,268.3684999999999,-24.77436388888889,0,1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,175675.0,0.0638,0.00643,-0.00643,0.768,0.037,0.00272,-0.00133,0.0284,0.00413,-0.00413,0.0295,0.00413,-0.00413,0.124,3.395e-12,6.20e-12,2.056,0.6494,-0.31379,2.0175934772847699e-13,1.5375453740687384e-12,1.6556952782027848e-12,268.36852,-24.77467,XRT,2.0175934772847699e-13,1.5375453740687384e-12,1.6556952782027848e-12,2.055999994277954,XRT,152,4067633238255477248,268.3685126036017,-24.77434570902,0.5548,0.0927,5.9876,2.651,-0.267,0.11,-2.637,0.072,0.699,338.0,3.636,8.396587,0.002808,8.82653,0.00296,7.738921,0.003919,1847.61096,1612.29907,2174.38501,1728.05603,1504.49939,2104.94165,10033.0,-2.5065226490519255,152.0,1.126,
1875,HD 316568,9.57,B2IVpe,268.67795833333327,-29.729891666666663,0,1875.0,0.264,J175442.7-294347,8.8813509513483e-15,6.3259191056695e-15,1.8717324190983e-15,8.9435644532215e-16,0.0,,0.07995,0.23111,0.15116,,,1.119,J175442.6-294346,1.01167e-15,2.26323e-16,4.85183e-15,4.78084e-16,1.32772e-14,7.46595e-16,2.07468e-14,1.49766e-15,4.58093e-14,6.6362e-15,8.83682e-14,6.96184e-15,3.55538e-14,1.44562e-15,0.680983,0.0641448,0.40654,0.0458445,-0.286805,0.0407582,-0.219796,0.0671582,,,,,,,,,,,,,,,,,,,,,,,,,268.67792636,-29.7298238,CXO,1.2299477886509684e-15,2.5397826356004517e-15,8.126975569755083e-15,2.0,CXO,55,4056489821007384192,268.6779370762407,-29.7298980795444,0.5676,0.0194,29.3045,0.727,0.722,0.021,0.091,0.014,0.0,0.0588,0.662,9.652394,0.003335,9.778092,0.005594,9.367512,0.00781,1689.91431,1633.20154,1742.40442,1680.06152,1624.79175,1735.63818,10033.0,-1.361231417631517,55.0,0.27,
1887,HD 164492D,8.76,Be,270.59637499999997,-23.033319444444444,0,1887.0,0.725,J180223.1-230159,2.678719641399e-13,1.4360403376872e-13,6.431287068617e-14,6.1491066740005e-14,1.3489296156375e-14,,-0.07121,-0.26983,-0.20237,2.53672,30.668,3.078,J180222.9-230201,0.0,7.16507e-16,1.59397e-15,2.3927e-15,2.7922e-14,5.54985e-15,2.9617e-14,9.57179e-15,0.0,8.32249e-15,8.02053e-14,1.79188e-14,4.16651e-14,9.28838e-15,1.0,0.107358,0.742259,0.1468,-0.496734,0.140024,-1.0,0.0975144,3.25,191348.0,0.0304,0.00588,-0.00588,0.246,-0.415,0.00906,-0.00322,0.0154,0.00415,-0.00415,0.00596,0.00265,-0.00265,0.0581,9.277e-13,2.17e-12,2.687,1.166,-0.51738,2.7811110901933455e-13,4.595841403688208e-13,1.9000475061184465e-13,270.596293293,-23.033132714,CXO,1.0268678247805822e-13,9.18844429315192e-14,1.696960293078704e-13,2.53672,CXO,56,4069268658698561664,270.5964329067535,-23.0333479687889,-0.5197,0.2735,-1.9003,3.118,-0.198,0.235,-3.112,0.174,1.341,1360.0,7.493,8.825583,0.003209,8.859301,0.005301,8.657754,0.010593,7216.80322,4968.64648,10861.958,3625.31812,2932.69897,5768.29053,10033.0,-5.43242331793042,56.0,0.944,
1891,Cl* NGC 6530 ZCW 175,10.37,B3Ve,271.0465416666666,-24.36253055555556,0,1891.0,0.256,J180411.1-242145,1.327632280021e-14,5.0487762929674e-15,3.1047238820845e-15,5.1021240383985e-15,0.0,,-0.30606,-0.65709,-0.43848,3.76485,37.2713,0.698,J180411.1-242145,5.22312e-16,1.93577e-16,4.25776e-15,4.3339e-16,2.02565e-15,3.66765e-16,2.49623e-16,3.3691e-16,2.83331e-16,8.96286e-16,8.80529e-15,1.31448e-15,1.41865e-14,1.03541e-15,0.80776,0.0591345,-0.109916,0.0739872,-0.881935,0.0646628,-0.423303,0.315757,,,,,,,,,,,,,,,,,,,,,,,,,271.046466824,-24.362550669,CXO,1.4067674485572983e-14,5.088477204099489e-15,5.339071007689777e-15,3.76485,CXO,57,4065975930620727040,271.0464993775662,-24.3625488379565,0.7615,0.0227,33.4755,2.486,1.243,0.024,-2.154,0.017,0.111,9.45,0.837,10.350207,0.002826,10.417,0.003,10.185541,0.004095,1275.60181,1241.08728,1311.43628,1260.44849,1234.18408,1294.11548,10013.0,-0.11157563404171533,57.0,0.13,
1893,HD 164906,7.45,B0Ve,271.1076666666666,-24.38565277777778,0,1893.0,0.322,J180425.8-242308,4.4003316200666e-15,0.0,1.0243368266288e-15,3.2032422820948e-15,9.3934077099233e-16,,-0.99938,-0.99938,-0.67083,,,0.966,J180425.7-242309,3.9975e-16,2.98357e-16,7.91553e-15,9.05827e-16,2.6537e-15,6.41193e-16,3.92517e-15,1.42948e-15,4.22709e-16,3.50385e-15,1.94498e-14,4.16348e-15,1.54488e-14,1.75961e-15,0.936011,0.0488353,-0.239177,0.0941189,-0.4256,0.129274,-0.904643,0.333288,,,,,,,,,,,,,,,,,,,,,,,,,271.107716914,-24.385729788,CXO,4.405201954972936e-15,1.3899384648854903e-15,0.0,2.0,CXO,58,4065974968548020352,271.1076378867293,-24.3856566182552,0.7443,0.0371,20.0755,2.243,2.084,0.041,-0.829,0.028,0.197,17.3,0.962,7.339391,0.002794,7.463867,0.002954,7.039011,0.003824,1279.75781,1217.90991,1346.00684,1266.00525,1222.35571,1322.11206,10033.0,-3.071771943033876,58.0,0.337,
1895,Cl* NGC 6530 ZCW 221,10.66,B2.5Ve,271.1208333333333,-24.42395,0,1895.0,0.278,J180428.9-242526,3.4348120748197e-15,0.0,1.2913700789153e-15,1.9298126844568e-15,0.0,,-0.99938,-0.99938,-0.4035,,,4.586,J180429.3-242527,1.58913e-15,2.99764e-16,1.11209e-14,6.54848e-16,2.15099e-14,9.20232e-16,1.73178e-14,1.47389e-15,2.10936e-14,5.41607e-15,7.83435e-14,5.80195e-15,6.24193e-14,1.86461e-15,0.79739,0.0299177,0.333382,0.0275418,-0.475674,0.0291445,-0.626194,0.067921,,,,,,,,,,,,,,,,,,,,,,,,,271.120750735,-24.423967067,CXO,2.6539405582337627e-15,1.7522800102714973e-15,0.0,2.0,CXO,59,4065971738732595584,271.1207881577802,-24.4239226659021,0.8157,0.0153,53.17,2.645,1.385,0.019,-2.254,0.013,0.039,1.27,0.686,10.621711,0.002773,10.683019,0.002848,10.462211,0.003815,1196.55005,1164.70447,1223.62903,1182.77051,1163.58215,1204.49768,10013.0,0.29336465372655773,59.0,0.191,
1896,Cl* NGC 6530 ZCW 228,10.49,B2.5Vne,271.13720833333326,-24.312380555555556,0,1896.0,0.351,J180432.9-241844,4.9102715567282e-15,0.0,7.339234151832e-15,1.1011224599946e-14,0.0,,-0.69082,-0.85946,-0.37976,4.25057,44.8805,0.23,J180432.9-241844,1.10708e-15,2.6756e-16,1.20623e-14,6.71289e-16,1.61639e-14,8.00728e-16,1.324e-14,1.25956e-15,7.38889e-15,3.83744e-15,5.21636e-14,4.28726e-15,4.61965e-14,1.58756e-15,0.884458,0.026057,0.196226,0.0329183,-0.526081,0.0345978,-0.727589,0.0930464,,,,,,,,,,,,,,,,,,,,,,,,,271.137108603,-24.312345107,CXO,3.7706249193476276e-14,1.2788579154869664e-14,0.0,4.25057,CXO,60,4066069251668212480,271.1371620934722,-24.3123603486121,0.8168,0.0245,33.3326,2.138,1.162,0.028,-1.795,0.02,0.121,9.36,0.815,10.415965,0.002791,10.476924,0.003028,10.260976,0.003854,1184.59119,1158.33569,1226.23535,1182.40479,1146.96265,1225.14795,10013.0,0.10908150801367356,60.0,0.211,
1900,HD 164947,8.87,B2Vne,271.17370833333325,-24.3483,0,1900.0,1.521,J180441.6-242055,6.4300654471035e-15,,1.5402912531434e-15,2.354772565246e-15,,,-0.21237,-0.61337,-0.45597,,,1.452,J180441.6-242054,4.63403e-16,2.95055e-16,2.68678e-15,5.26766e-16,2.26537e-15,5.42904e-16,1.81926e-15,9.34782e-16,3.48861e-15,4.26484e-15,1.28082e-14,4.559e-15,9.52018e-15,1.26099e-15,0.737519,0.117572,0.073369,0.126054,-0.524472,0.144729,-0.363056,0.339371,,,,,,,,,,,,,,,,,,,,,,,,,271.17339194,-24.34858194,XMM,2.356558542176871e-15,2.26537e-15,4.7677645124722246e-15,2.0,XMM,61,4066068903750862976,271.1735123712042,-24.348698346702,0.7946,0.0213,37.2755,2.716,1.593,0.027,-2.2,0.019,0.107,7.44,0.726,9.761457,0.002791,9.808606,0.003082,9.607775,0.003881,1217.60193,1182.36792,1248.94629,1213.66638,1182.5387,1246.46326,10013.0,-0.6189206390990041,61.0,0.619,
1903,Cl* NGC 6530 ZCW 254,11.97,B4Ve,271.210875,-24.428355555555555,0,1903.0,1.535,J180450.7-242542,9.620235962808e-14,6.1476657905904e-14,2.1455018409328e-14,1.3639923282973e-14,,,0.05122,-0.0025,-0.05372,2.24665,40.9523,1.185,J180450.6-242542,1.07347e-16,3.35821e-16,4.79849e-15,8.80431e-16,1.44079e-14,1.35818e-15,2.13516e-14,2.87468e-15,2.94598e-14,1.27921e-14,7.93996e-14,1.35555e-14,5.30141e-14,3.24872e-15,0.982428,0.0430605,0.620039,0.0458965,-0.298338,0.0522687,-0.439758,0.096076,,,,,,,,,,,,,,,,,,,,,,,,,271.211333366,-24.428442821,CXO,2.0467445933548098e-14,2.9791218496580386e-14,7.577636566477263e-14,2.24665,CXO,62,4066064643142852224,271.2108330089683,-24.4283598497686,0.7632,0.0153,49.9115,2.814,1.806,0.021,-2.158,0.014,0.044,1.48,0.669,11.721603,0.00322,11.994288,0.004554,11.22236,0.007557,1235.87952,1216.89551,1256.86182,1229.62805,1205.80627,1254.21021,10033.0,1.5344073224071142,62.0,1.633,
1904,V4379 Sgr,7.05,B9Ve,271.38879166666663,-19.754205555555554,0,1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,193264.0,0.18,0.0184,-0.0184,0.282,-0.489,0.0439,-0.0092,0.0949,0.0126,-0.0126,0.0268,0.00712,-0.00712,0.171,3.988e-12,1.85e-11,3.028,0.59602,-0.39529,1.1735367672033431e-12,2.0953678768171112e-12,7.190953559795458e-13,271.38904,-19.75431,XRT,1.1735367672033431e-12,2.0953678768171112e-12,7.190953559795458e-13,3.0280001163482666,XRT,153,4095030181777183616,271.3888072359807,-19.7542055936023,5.9995,0.0258,232.1777,4.246,-4.134,0.03,-0.969,0.021,0.167,21.1,0.928,6.941215,0.003477,7.051128,0.006298,6.692513,0.007971,165.714279,165.080292,166.37265,165.55603,164.803162,166.235367,10033.0,0.9543283419187647,153.0,0.928,
1908,HD 165783,8.33,B4IIe,272.112875,-19.86887777777778,0,1908.0,,,,,,,,,,,,,,0.115,J180827.0-195207,3.6746e-16,2.52789e-16,1.05994e-15,3.59589e-16,1.25728e-16,2.0277e-16,5.52145e-16,6.21947e-16,2.9223e-15,3.30763e-15,8.76924e-15,3.55367e-15,4.10047e-15,9.8588e-16,0.767095,0.147358,-0.758625,0.142047,0.157437,0.248913,-0.593464,0.261402,,,,,,,,,,,,,,,,,,,,,,,,,272.11290694,-19.86886694,XMM,1.067795636984666e-15,1.25728e-16,3.120900770278202e-15,2.0,XMM,119,4095046193393026944,272.1128915629511,-19.8688740080755,0.7041,0.0241,29.261,1.603,-0.412,0.026,-1.549,0.019,0.123,9.21,0.877,8.261578,0.002949,8.427951,0.004336,7.926585,0.005325,1359.57373,1316.62561,1394.64624,1330.23438,1294.80701,1369.25928,10033.0,-2.2390628222652396,119.0,0.077,
