model,nh,f1,f2,f3,f
abs_gas,0.0,3.125793827599731e-10,3.3526541824402185e-10,1.2245339038216283e-09,1.872378704825623e-09
abs_gas,0.05025125628140704,2.1366914806511255e-10,3.169695614829371e-10,1.2188055149878376e-09,1.7494442245358876e-09
abs_gas,0.10050251256281408,1.5456881904434276e-10,2.999127702768016e-10,1.2131372690681207e-09,1.6676188583892649e-09
abs_gas,0.15075376884422112,1.1584339308622343e-10,2.839965293022906e-10,1.2075282981929058e-09,1.60736822058142e-09
abs_gas,0.20100502512562815,8.88939080919513e-11,2.69131023775677e-10,1.2019777487709928e-09,1.560002680638621e-09
abs_gas,0.2512562814070352,6.938011568460194e-11,2.5523431769772445e-10,1.1964847812372769e-09,1.5210992146196034e-09
abs_gas,0.30150753768844224,5.4856329900781953e-11,2.42231613226811e-10,1.1910485698051377e-09,1.4881365129327306e-09
abs_gas,0.35175879396984927,4.382522507876105e-11,2.3005458292134933e-10,1.1856683022234025e-09,1.459548110223513e-09
abs_gas,0.4020100502512563,3.5313791259173266e-11,2.1864076745226146e-10,1.1803431795378004e-09,1.4342977382492352e-09
abs_gas,0.45226130653266333,2.8662058579177693e-11,2.0793303215494416e-10,1.1750724158568142e-09,1.411667506590936e-09
abs_gas,0.5025125628140704,2.3407952512275816e-11,1.978790764776109e-10,1.1698552381218573e-09,1.391142267111744e-09
abs_gas,0.5527638190954774,1.9219929693779076e-11,1.8843099099779722e-10,1.164690885881682e-09,1.3723418065732584e-09
abs_gas,0.6030150753768845,1.585536998336039e-11,1.7954485722894331e-10,1.159578611070946e-09,1.3549788382832497e-09
abs_gas,0.6532663316582915,1.3133789628374566e-11,1.7118038593123322e-10,1.154517677792856e-09,1.3388318533524637e-09
abs_gas,0.7035175879396985,1.0919031364085829e-11,1.6330059008145003e-10,1.1495073621058078e-09,1.3237269835513435e-09
abs_gas,0.7537688442211056,9.107114170217523e-12,1.5587148905100657e-10,1.1445469518139541e-09,1.3095255550351782e-09
abs_gas,0.8040201005025126,7.617766566290251e-12,1.4886184089444688e-10,1.1396357462616173e-09,1.2961153537223544e-09
abs_gas,0.8542713567839196,6.388419908944922e-12,1.422428999669651e-10,1.1347730561314785e-09,1.2834043760073886e-09
abs_gas,0.9045226130653267,5.3698801155904726e-12,1.359881973727736e-10,1.1299582032464725e-09,1.2713162807348365e-09
abs_gas,0.9547738693467337,4.523165598991336e-12,1.3007334199995776e-10,1.1251905203753129e-09,1.2597870279742622e-09
abs_gas,1.0050251256281408,3.8171684461967325e-12,1.2447584012490605e-10,1.1204693510415862e-09,1.248762359612689e-09
abs_gas,1.0552763819095479,3.226904952191539e-12,1.1917493177327527e-10,1.115794049336339e-09,1.238195886061806e-09
abs_gas,1.105527638190955,2.732193438202745e-12,1.1415144220723731e-10,1.111163979734098e-09,1.2280476153795381e-09
abs_gas,1.155778894472362,2.316645450015628e-12,1.0938764707266986e-10,1.1065785169122571e-09,1.2182828094349425e-09
abs_gas,1.206030150753769,1.966889255649776e-12,1.0486714988698282e-10,1.1020370455737629e-09,1.2088710847163955e-09
abs_gas,1.256281407035176,1.671967250893515e-12,1.0057477068019015e-10,1.097538960273045e-09,1.1997856982041284e-09
abs_gas,1.306532663316583,1.4228647664647223e-12,9.649644472022234e-11,1.0930836652451193e-09,1.1910029747318064e-09
abs_gas,1.35678391959799,1.2121390225694897e-12,9.26191303597449e-11,1.088670574237814e-09,1.1825018436201284e-09
