model,nh,f1,f2,f3,f
abs_pl,0.0,7.141321820992004e-14,1.5624642258658275e-13,2.1818728360696257e-12,2.4095324768661287e-12
abs_pl,0.05025125628140704,5.159573716934286e-14,1.4847521916013798e-13,2.1757462122821168e-12,2.375817168611598e-12
abs_pl,0.10050251256281408,3.8832832326596075e-14,1.411901150529745e-13,2.1696672759673183e-12,2.349690223346889e-12
abs_pl,0.15075376884422112,2.998594815751594e-14,1.3435454406510308e-13,2.163635406766186e-12,2.327975898988805e-12
abs_pl,0.20100502512562815,2.3562677916396237e-14,1.279350578770446e-13,2.1576499940479074e-12,2.3091477298413484e-12
abs_pl,0.2512562814070352,1.8754870418234207e-14,1.2190103802988747e-13,2.1517104367430867e-12,2.2923663451912083e-12
abs_pl,0.30150753768844224,1.5078415755563817e-14,1.162244359303295e-13,2.1458161431799355e-12,2.2771189948658286e-12
abs_pl,0.35175879396984927,1.2221632437782717e-14,1.1087953805600863e-13,2.1399665309234353e-12,2.2630677014172264e-12
abs_pl,0.4020100502512563,9.97348979341772e-15,1.05842753828364e-13,2.134161026617401e-12,2.2499772702391827e-12
abs_pl,0.45226130653266333,8.185877785519205e-15,1.0109242388146617e-13,2.1283990658294003e-12,2.2376773674963857e-12
abs_pl,0.5025125628140704,6.752026027130393e-15,9.660864668899793e-14,2.122680092898465e-12,2.2260407656145932e-12
abs_pl,0.5527638190954774,5.5933389804438736e-15,9.23731217207829e-14,2.1170035607855575e-12,2.2149700214867844e-12
abs_pl,0.6030150753768845,4.6509684723258556e-15,8.836900748755805e-14,2.111368930926724e-12,2.2043889068866076e-12
abs_pl,0.6532663316582915,3.880218085110733e-15,8.458079300040464e-14,2.105775673088897e-12,2.1942366841744123e-12
abs_pl,0.7035175879396985,3.2467205772345313e-15,8.099418132146401e-14,2.100223265228289e-12,2.1844641671269876e-12
abs_pl,0.7537688442211056,2.7237659769702862e-15,7.75959840171308e-14,2.0947111933513387e-12,2.1750309433454394e-12
abs_pl,0.8040201005025126,2.2903980145930656e-15,7.437402544549215e-14,2.0892389513781466e-12,2.165903374838232e-12
abs_pl,0.8542713567839196,1.9300356397679957e-15,7.131705591784482e-14,2.083806041008372e-12,2.1570531325659854e-12
abs_pl,0.9045226130653267,1.6294604294585377e-15,6.841467287099777e-14,2.078411971589533e-12,2.1484561048899893e-12
abs_pl,0.9547738693467337,1.3780632533025517e-15,6.565724927392927e-14,2.0730562599876638e-12,2.140091572514896e-12
abs_pl,1.0050251256281408,1.167277357430037e-15,6.303586857027503e-14,2.0677384304602993e-12,2.1319415763880046e-12
abs_pl,1.0552763819095479,9.901472640988901e-16,6.05422655280121e-14,2.062458014531723e-12,2.1239904273238342e-12
abs_pl,1.105527638190955,8.40997806088403e-16,5.816877243041704e-14,2.0572145508704562e-12,2.1162243211069614e-12
abs_pl,1.155778894472362,7.151777991317496e-16,5.5908270098666375e-14,2.0520075851689324e-12,2.1086310330667302e-12
