model,nh,f1,f2,f3,f
abs_gas,0.0,3.5971479443032097e-10,3.661472030691035e-10,9.361593288496659e-10,1.6620213263490902e-09
abs_gas,0.05025125628140704,2.446239852405486e-10,3.453973180444512e-10,9.310821783330749e-10,1.521103481618075e-09
abs_gas,0.10050251256281408,1.762450068030818e-10,3.2609617397936977e-10,9.260619728702349e-10,1.4284031536526864e-09
abs_gas,0.15075376884422112,1.3165556908273604e-10,3.081263835005185e-10,9.210978693158056e-10,1.36087982189906e-09
abs_gas,0.20100502512562815,1.0074921425679575e-10,2.913810225066361e-10,9.161890386100072e-10,1.308319275373439e-09
abs_gas,0.2512562814070352,7.844557323542607e-11,2.7576263915333304e-10,9.113346655267836e-10,1.2655428779155427e-09
abs_gas,0.30150753768844224,6.189366331774533e-11,2.611823605790705e-10,9.065339484266663e-10,1.2296099723234822e-09
abs_gas,0.35175879396984927,4.935461626695676e-11,2.4755908745259887e-10,9.017860990142562e-10,1.198699802733812e-09
abs_gas,0.4020100502512563,3.970223623029097e-11,2.3481876745051595e-10,8.970903421002262e-10,1.1716113457810332e-09
abs_gas,0.45226130653266333,3.217490549292004e-11,2.2289373969360491e-10,8.924459153677657e-10,1.1475145605542906e-09
abs_gas,0.5025125628140704,2.624079611441996e-11,2.1172214299381276e-10,8.878520691433747e-10,1.1258150082516072e-09
abs_gas,0.5527638190954774,2.1519247480973682e-11,2.012473815004402e-10,8.833080661719285e-10,1.1060746951533423e-09
abs_gas,0.6030150753768845,1.7732334699502076e-11,1.9141764199355253e-10,8.788131813959295e-10,1.0879631580889841e-09
abs_gas,0.6532663316582915,1.4673762875007795e-11,1.821854576630096e-10,8.743667017388633e-10,1.0712259222768807e-09
abs_gas,0.7035175879396985,1.2188229682277925e-11,1.7350731374017416e-10,8.699679258925854e-10,1.0556634693150376e-09
abs_gas,0.7537688442211056,1.0157373534226956e-11,1.6534329082285254e-10,8.656161641086564e-10,1.0411168284657358e-09
abs_gas,0.8040201005025126,8.489999719324362e-12,1.57656742158184e-10,8.613107379935513e-10,1.0274574798710595e-09
abs_gas,0.8542713567839196,7.1151586001063975e-12,1.504140015282465e-10,8.570509803076713e-10,1.0145801404360243e-09
abs_gas,0.9045226130653267,5.977166630529393e-12,1.435841187237452e-10,8.528362347680814e-10,1.0023975201223558e-09
abs_gas,0.9547738693467337,5.0319752342017355e-12,1.3713861989645618e-10,8.486658558549033e-10,9.90836450985561e-10
abs_gas,1.0050251256281408,4.244489733617261e-12,1.310512903548302e-10,8.445392086212973e-10,9.798349887097449e-10
abs_gas,1.0552763819095479,3.5865673954356156e-12,1.2529797761263412e-10,8.404556685069579e-10,9.693402135150275e-10
abs_gas,1.105527638190955,3.0355070894700346e-12,1.1985641272069316e-10,8.364146211550629e-10,9.593065409652263e-10
abs_gas,1.155778894472362,2.5728989485098623e-12,1.1470604810934416e-10,8.32415462232605e-10,9.49694409290459e-10
abs_gas,1.206030150753769,2.1837404628207373e-12,1.0982791034648227e-10,8.284575972540424e-10,9.404692480633453e-10
abs_gas,1.256281407035176,1.8557517147902444e-12,1.0520446637520922e-10,8.245404414082073e-10,9.316006594982066e-10
abs_gas,1.306532663316583,1.5788408332162366e-12,1.0081950193795134e-10,8.206634193884062e-10,9.230617621595737e-10
abs_gas,1.35678391959799,1.3446837474909348e-12,9.665801102221184e-11,8.168259652256561e-10,9.148286599953589e-10
abs_gas,1.407035175879397,1.1463916197355383e-12,9.270609527836549e-11,8.130275221249899e-10,9.068800090230907e-10
abs_gas,1.4572864321608041,9.782460490401936e-13,8.895087246344617e-11,8.092675423047806e-10,8.991966608172671e-10
abs_gas,1.5075376884422111,8.354870387925127e-13,8.53803930579349e-11,8.055454868390209e-10,8.917613669357482e-10
abs_gas,1.5577889447236182,7.141423201466324e-13,8.198356428620921e-11,8.018608255025014e-10,8.845585321088571e-10
abs_gas,1.6080402010050252,6.108892966981364e-13,7.875008084653405e-11,7.982130366188394e-10,8.775740067620717e-10
abs_gas,1.6582914572864322,5.229428734849258e-13,7.567036172412964e-11,7.94601606911295e-10,8.707949115089098e-10
abs_gas,1.7085427135678393,4.4796393902402474e-13,7.273549252172015e-11,7.91026031356328e-10,8.642094878170723e-10
abs_gas,1.7587939698492463,3.839844119610645e-13,6.99371727967425e-11,7.874858130398392e-10,8.578069702485429e-10
