Be_star,Type,RA,DEC,Xcat,Xidentifier,Gamma,e_Gamma,E_Gamma,Fb,e_Fb,E_Fb,Fs,e_Fs,E_Fs,Fm,e_Fm,E_Fm,Fh,e_Fh,E_Fh,HRms,e_HRms,E_HRms,HRhm,e_HRhm,E_HRhm,DR3Name,Plx,RPlx,PM,e_PM,epsi,sepsi,RUWE,G,e_G,BP,e_BP,RP,e_RP,Teff,Gflux,e_Gflux,E_Gflux,dist,e_dist,E_dist,J,e_J,H,e_H,K,e_K,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Vsini,Vtran,e_Vtran,E_Vtran,LX,e_LX,E_LX,fX2O,e_fX2O,E_fX2O,match_flag,Class,ref,G-BP,G-RP,G-J,G-K,BP-RP,J-H,J-K,H-K,W1-W2,W1-W3,W2-W3,W1-W4
43 Ori,O9.5Vpe,83.84542669572,-5.41605398039,CXO,J053522.8-052457,3.96529,0.05928999999999984,0.06211000000000011,6.971031145746701e-13,6.71784522859386e-15,6.4684450089749e-15,4.4162008355795e-13,4.879672759040028e-15,4.592633184969967e-15,1.2270947676722e-13,2.233722250760005e-15,2.102326824249997e-15,1.327735542495e-13,4.0408814863199876e-15,4.040881486320013e-15,-0.5651141269420156,0.010367293539555181,0.010840992524881458,0.03939235197824688,0.017843005301326965,0.018086323510280118,Gaia DR3 3017360936587007616,2.9728,13.9202,2.63,0.1427160095072181,1.433,4567.0,2.614,5.001814,0.003402,4.963159,0.002989,4.967601,0.004421,17766.3,1.0115510326814261e-07,3.1695513128337034e-10,3.1695513128337034e-10,333.819092,18.759978999999987,26.837401999999997,4.912,0.037,4.923,0.063,4.837,0.021,,,,,,,,,183.0,4.161611346933333,0.3251087227555001,0.40365517442656235,9.296534249178853e+30,1.0487276519834106e+30,1.4972776420041528e+30,6.891428035289377e-06,6.983363195185812e-08,6.749324140989043e-08,0,star,,0.03865500000000033,0.03421300000000027,0.08981382070922894,0.16481410681152386,-0.004442000000000057,-0.01099968,0.075000286,0.085999966,,,,
RX J0535.6-6651,BIIIe,83.92084433997,-66.86487936541,XMM,J053541.0-665153,,,,5.4548999126602496e-14,2.773484484624543e-15,2.773484484624543e-15,2.2785107823834732e-14,9.666904743764623e-16,9.666904743764623e-16,1.1780876636079217e-14,5.596907778132878e-16,5.596907778132878e-16,1.9983014666688544e-14,2.538596452064336e-15,2.538596452064336e-15,-0.3183543405372146,0.033913798326414224,0.033913798326414224,0.25822207841060796,0.08452464951809248,0.08452464951809248,Gaia DR3 4660250867252215424,0.2612,2.6599,2.349,0.12492032868959572,1.171,297.8,4.295,15.026151,0.003889,14.836311,0.009681,15.103072,0.007202,27922.9,9.89129142978927e-12,3.5429630329974904e-14,3.5429630329974904e-14,49970.0,1099.34,1099.34,15.152,0.052,15.099,0.115,15.736,,15.257,0.037,15.434,0.054,13.578,,9.824,,,556.3998000000001,32.02145108869232,32.02145108869232,1.6300735213093982e+34,1.0960475855641486e+33,1.0960475855641486e+33,0.005514851070136212,0.0002810915508785389,0.0002810915508785389,1,HMXB,SIMBAD,0.18984000000000023,-0.07692099999999868,-0.12584942724609327,-0.7098490610351558,-0.2667609999999989,0.05300045,-0.58399963,-0.6370001,-0.17700005,1.6789999,1.856,5.4329996
V725 Tau,O9.7IIe,84.72739245821,26.3157752444,CXO,J053854.5+261856,0.561029,0.034108999999999945,0.034421000000000035,3.197088316138363e-12,3.951678941219908e-14,3.947359901926286e-14,6.5225263551633e-14,2.8382780925270082e-15,2.8382780925269956e-15,2.3148970604343e-13,5.466038090200017e-15,5.144506437840017e-15,2.9003733465433e-12,3.9033873116999977e-14,3.9033873116999977e-14,0.5603507053206777,0.02353695157710229,0.02296529239759618,0.8521712462157414,0.016516705115546263,0.016534870883781277,Gaia DR3 3441207615229815040,0.5245,22.5602,2.939,0.01706099757490407,0.123,25.19,1.285,8.601999,0.002923,8.987547,0.003169,8.010447,0.005722,41504.0,3.672094066287034e-09,9.885947349566482e-12,9.885947349566482e-12,1793.03674,71.97937000000002,76.29944,8.368,0.021,8.272,0.026,8.157,0.027,7.107,0.054,6.932,0.022,6.173,0.014,5.211,0.036,,24.97947886050241,1.0132022342333498,1.0728018008665305,1.2300838535491977e+33,9.99240459410946e+31,1.0578391495902194e+32,0.0008706444493049266,1.1013685347186138e-05,1.1002193289785274e-05,0,HMXB,2006A&A...455.1165L,-0.385548,0.5915520000000001,0.23399896948242116,0.44499941198730397,0.9771000000000001,0.09599972,0.21100044,0.115000725,0.17499971,0.934,0.7590003,1.8959999
AX J0544.1-7100,Be,86.02170850093,-71.01410266499,XRT,154946.0,3.6040000915527344,0.5331100225448608,1.155900001525879,7.606291435234037e-14,1.0158693583470192e-13,8.868616490356424e-14,5.823042717235645e-14,9.909228116162824e-14,8.723495094238355e-14,1.0599777910268756e-14,1.860273824656461e-14,1.2280535647959369e-14,7.232709269715153e-15,1.2432356019615196e-14,1.022191878178084e-14,-0.6920021407013226,1.5696410799364746,1.7697328632883886,-0.1888165462601859,0.9944488267007707,1.213655491200294,Gaia DR3 4657045928301192320,0.0382,1.5578,2.126,0.03019922574661157,0.0,0.0,0.932,15.307679,0.007674,15.332313,0.016615,15.240456,0.033127,25301.0,7.632060383794954e-12,5.394351881108158e-14,5.394351881108158e-14,49970.0,1099.34,1099.34,15.133,0.063,15.025,0.088,15.168,0.193,14.373,0.032,14.426,0.038,11.956,0.119,9.96,0.496,,503.5785333333333,13.187355098191142,13.187355098191142,2.2729682418482356e+34,3.037342893618227e+34,2.6520719365819656e+34,0.009966235921540096,0.013310738291376705,0.011620426193075567,0,HMXB,SIMBAD,-0.024633999999998935,0.06722300000000025,0.17467862615966823,0.13967877874755885,0.09185699999999919,0.108000755,-0.034999847,-0.1430006,-0.052999496,2.4169998,2.4699993,4.413
HD 42054,B4IVe,91.76530034098,-34.31202307957,XMM,J060703.6-341843,,,,2.5564471409655253e-12,3.290107724623358e-14,3.290107724623358e-14,7.280929909538716e-13,1.1672324291139564e-14,1.1672324291139564e-14,5.471373846764822e-13,7.574415313941472e-15,7.574415313941472e-15,1.2812167653351715e-12,2.981385520621295e-14,2.981385520621295e-14,-0.14190032619630943,0.011020714126963854,0.011020714126963854,0.4014973689063524,0.0181298139681333,0.0181298139681333,Gaia DR3 2886603749632817792,3.4337,62.4796,2.019,0.04804998975799813,0.463,320.6,1.167,5.763813,0.002928,5.708571,0.003475,5.801548,0.005652,,5.014044658785308e-08,1.352181376708711e-10,1.352181376708711e-10,290.069092,4.059143000000006,4.9767759999999726,5.866,0.02,5.838,0.031,5.699,0.02,5.849,0.104,5.476,0.051,4.985,0.014,4.239,0.022,,2.7760825321134606,0.07664259795161127,0.08144657647135282,2.5741949607888646e+31,7.929726713649719e+29,9.434037037994388e+29,5.098572739048648e-05,6.704294777158585e-07,6.704294777158585e-07,0,Gamma Cas analog,2018A&A...619A.148N,0.05524199999999979,-0.03773500000000052,-0.10218717547607437,0.06481311825561509,-0.09297700000000031,0.028000355,0.1670003,0.13899994,0.37300014,0.86399984,0.4909997,1.6100001
HD 43285,B5IVe,93.9173999741,6.066092782,XMM,J061540.1+060358,,,,1.10946739319881e-13,4.90364759983122e-15,4.90364759983122e-15,8.101503058963859e-14,4.071094331556818e-15,4.071094331556818e-15,2.1915463699587472e-14,1.6887144109631364e-15,1.6887144109631364e-15,8.01624503065493e-15,2.149463738959523e-15,2.149463738959523e-15,-0.5741696598093301,0.0493758791583523,0.0493758791583523,-0.46436435668268566,0.10069014218397625,0.10069014218397625,Gaia DR3 3318793251929855616,4.6484,75.5759,17.05,0.09374609039232955,0.349,124.2,0.956,6.043621,0.002823,5.972198,0.002999,6.138193,0.00393,13624.1,3.8749401387993835e-08,1.0075150818303551e-10,1.0075150818303551e-10,213.248047,3.039139000000006,2.744109999999978,6.285,0.027,6.336,0.036,6.381,0.027,6.338,0.083,6.335,0.025,6.451,0.015,6.413,0.066,260.0,17.234712564067177,0.26326902623753845,0.24117570682425954,6.0379063873082225e+29,3.1754574420875893e+28,3.088104438315744e+28,2.863185890511766e-06,1.2676648198882307e-07,1.2676648198882307e-07,0,star,,0.07142300000000024,-0.09457200000000032,-0.24137884741210947,-0.33737904196167,-0.16599500000000056,-0.05100012,-0.096000195,-0.045000076,0.0029997826,-0.11300039,-0.116000175,-0.075000286
FR CMa,B1Vpe,95.35297526765,-11.77323529894,XMM,J062124.6-114623,,,,1.6092696639899735e-12,2.467548989086463e-14,2.467548989086463e-14,2.705209339862307e-13,6.0371796969575095e-15,6.0371796969575095e-15,3.052878051450597e-13,4.917043310306007e-15,4.917043310306007e-15,1.033460924858683e-12,2.3414844602204424e-14,2.3414844602204424e-14,0.06037920023805303,0.013546818193735186,0.013546818193735186,0.543920680105211,0.020344185021615013,0.020344185021615013,Gaia DR3 3001108264938556800,1.8635,31.218,2.566,0.05317907804752012,0.33,154.7,0.823,5.531329,0.004818,5.546497,0.010616,5.424891,0.012789,34122.7,6.211289874389395e-08,2.75628596372309e-10,2.75628596372309e-10,530.463562,18.036804000000075,21.40374799999995,5.765,0.044,5.645,0.031,5.483,0.018,4.979,0.176,4.54,0.073,3.942,0.015,3.07,0.022,242.0,6.452184956076146,0.2569265210806047,0.29267313637135056,5.419280698655165e+31,3.7778436190660087e+30,4.451510642893046e+30,2.5908783787814667e-05,4.1357050112159077e-07,4.1357050112159077e-07,0,Gamma Cas analog,2020MNRAS.498.3171N,-0.015167999999999182,0.1064380000000007,-0.23367086648559532,0.0483291983642582,0.12160599999999988,0.119999886,0.28200006,0.16200018,0.43900013,1.0370002,0.59800005,1.9090002
PZ Gem,O9pe,96.81574007333,14.88922350193,XMM,J062715.8+145321,,,,1.8465243089475644e-13,4.9419268796675906e-15,4.9419268796675906e-15,3.5305254613457916e-14,1.2887122882498894e-15,1.2887122882498894e-15,3.2417692334464195e-14,9.300696064144483e-16,9.300696064144483e-16,1.1692948394683434e-13,4.67940513840369e-15,4.67940513840369e-15,-0.04263787104855627,0.023488690400583448,0.023488690400583448,0.5658747203441625,0.036705325198439116,0.036705325198439116,Gaia DR3 3356755643227139584,1.1281,30.6501,0.884,0.038234138712354586,0.268,81.88,1.297,6.552404,0.013259,6.675784,0.032446,6.314524,0.041584,36246.3,2.425223667330066e-08,2.961680789883283e-10,2.961680789883283e-10,864.045959,26.877928999999995,28.88604799999996,5.906,0.023,5.761,0.021,5.534,0.017,5.311,0.164,4.833,0.083,4.253,0.014,3.635,0.023,,3.620626347030976,0.1928921799126358,0.19792330539423245,1.6497966738566463e+31,1.1173492236033154e+30,1.1881796365157352e+30,7.613830979063498e-06,2.2398284709490737e-07,2.2398284709490737e-07,0,Gamma Cas analog,2016AdSpR..58..782S,-0.12338000000000005,0.23788000000000054,0.6464038626708986,1.0184040801086427,0.3612600000000006,0.14499998,0.37200022,0.22700024,0.4779997,1.0580001,0.5800004,1.6759999
HD 45995,B2Vnne,97.789854208,11.25136559555,XMM,J063109.5+111504,,,,1.0107490502816227e-12,5.1517399094407774e-14,5.1517399094407774e-14,1.937224705286781e-13,1.4518172498364706e-14,1.4518172498364706e-14,1.9919316781517034e-13,9.904981355905959e-15,9.904981355905959e-15,6.178334119377742e-13,4.842681510381794e-14,4.842681510381794e-14,0.013923338123041874,0.04473442729176107,0.04473442729176107,0.5123948895875503,0.06797874576093527,0.06797874576093527,Gaia DR3 3328013928239036032,1.4952,22.7382,3.516,0.06105470598279844,0.363,140.9,1.271,6.058697,0.005297,6.021348,0.01102,6.064297,0.031137,19702.8,3.821506457532677e-08,1.8644049647455603e-10,1.8644049647455603e-10,658.431335,28.023986000000036,28.339417000000026,6.042,0.018,5.973,0.038,5.782,0.017,5.866,0.131,5.486,0.059,4.77,0.014,3.871,0.024,255.0,10.973722061136122,0.5044379072729702,0.5093093635811986,5.244040429668954e+31,5.202949902210204e+30,5.246121186364518e+30,2.6448968790548744e-05,1.3542529024063822e-06,1.3542529024063822e-06,0,Gamma Cas analog,2020MNRAS.498.3171N,0.03734900000000074,-0.005599999999999383,0.016697183105469193,0.2766969351501469,-0.042949000000000126,0.06899977,0.25999975,0.19099998,0.3800001,1.0960002,0.7160001,1.9950001
Cl* NGC 2244 PS 26,B7Ve,97.87399685396,4.91365104645,CXO,J063129.7+045449,,,,4.27664506870958e-15,1.221495099421183e-15,1.2118469731152014e-15,1.4575283692503e-15,4.286848144854e-16,4.072505737611e-16,7.3909284947018e-16,2.501545028976e-16,2.387838436749899e-16,2.0800238499891e-15,1.1161103585307498e-15,1.1161103585307003e-15,-0.32706390781320266,0.22865382053699237,0.23529605004298404,0.4756564354984371,0.44833416637899176,0.44928981419286806,Gaia DR3 3131376718971741952,0.6626,37.4369,2.091,0.017002133205127345,0.086,8.508,1.094,12.281327,0.003232,12.460751,0.004945,11.9376,0.006815,,1.2393175442768753e-10,3.6891781682781447e-13,3.6891781682781447e-13,1436.35986,32.816280000000006,39.63758000000007,11.449,0.024,10.887,0.025,9.69,0.021,7.989,0.022,6.98,0.02,3.858,0.013,2.106,0.019,,14.236783862550572,0.3452508985155056,0.40957573976992634,1.0559210211033608e+30,3.0542716020074508e+29,3.048326112899615e+29,3.450806525300135e-05,9.856726742579785e-06,9.778880687518042e-06,0,YSO,SIMBAD,-0.17942400000000092,0.34372699999999945,0.8323266414184562,2.5913274196166984,0.5231510000000004,0.5620003,1.7590008,1.1970005,1.0089998,4.1309996,3.122,5.883
