Be_star,Type,RA,DEC,Xcat,Xidentifier,Gamma,e_Gamma,E_Gamma,Fb,e_Fb,E_Fb,Fs,e_Fs,E_Fs,Fm,e_Fm,E_Fm,Fh,e_Fh,E_Fh,HRms,e_HRms,E_HRms,HRhm,e_HRhm,E_HRhm,DR3Name,Plx,RPlx,PM,e_PM,epsi,sepsi,RUWE,G,e_G,BP,e_BP,RP,e_RP,Teff,Gflux,e_Gflux,E_Gflux,dist,e_dist,E_dist,J,e_J,H,e_H,K,e_K,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Vsini,Vtran,e_Vtran,E_Vtran,LX,e_LX,E_LX,fX2O,e_fX2O,E_fX2O,match_flag,Class,ref,G-BP,G-RP,G-J,G-K,BP-RP,J-H,J-K,H-K,W1-W2,W1-W3,W2-W3,W1-W4
XTE J0111-7317,B1IVe,17.78575314,-73.27953553,XMM,J011108.4-731646,,,,2.4e-14,5e-15,5e-15,2.7e-15,4e-16,4e-16,2.6e-15,4e-16,4e-16,1.9e-14,5e-15,5e-15,-0.0,0.1,0.1,0.8,0.3,0.3,Gaia DR3 4687174367933821952,-0.0879,-3.47,1.6,0.03,0.0,0.0,0.959,15.436,0.003,15.43,0.004,15.413,0.006,28046.0,6.78e-12,2e-14,2e-14,,,,15.1,0.05,15.19,0.09,14.9,0.1,14.53,0.03,14.25,0.04,12.36,,8.9,0.3,,,,,,,,0.0035,0.0007,0.0007,0,HMXB,1,0.006000000000000227,0.022999999999999687,0.3360000000000003,0.5359999999999996,0.01699999999999946,-0.08999999999999986,0.1999999999999993,0.28999999999999915,0.27999999999999936,2.17,1.8900000000000006,5.629999999999999
CAS GAM-1,Be,19.63319348,63.74252241,XMM,J011831.9+634433,,,,4.3e-14,2e-15,2e-15,1.9e-15,3e-16,3e-16,1.97e-14,6e-16,6e-16,2.2e-14,1e-15,1e-15,0.83,0.04,0.04,0.05,0.04,0.04,Gaia DR3 524677469790488960,0.1363,8.34,1.76,0.01,0.0,0.0,1.017,14.3,0.01,15.44,0.03,13.25,0.04,6174.0,1.92e-11,2e-13,2e-13,5787.0,454.0,817.0,11.62,0.03,11.02,0.02,10.63,0.02,10.73,0.02,10.57,0.02,10.58,0.09,8.52,,,48.0,4.0,7.0,1.7273285e+32,2.7744637e+31,4.9167555e+31,0.00224,8e-05,8e-05,0,HMXB,1,-1.1399999999999988,1.0500000000000007,2.6800000000000015,3.67,2.1899999999999995,0.5999999999999996,0.9899999999999984,0.3899999999999988,0.16000000000000014,0.15000000000000036,-0.009999999999999787,2.210000000000001
ACHERNAR,B6Vpe,24.42854167,-57.23675278,XMM,J013742.6-571413,,,,5.2e-13,1e-14,1e-14,4.36e-13,1e-14,1e-14,6.7e-14,3e-15,3e-15,2e-14,6e-15,6e-15,-0.73,0.03,0.03,-0.54,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,0.8,0.3,0.9,0.3,0.9,0.3,,,,,,,,,235.0,,,,,,,,,,2,star,,,,,,,-0.09999999999999998,-0.09999999999999998,0.0,,,,
V831 Cas,B1IVe,26.75087549,61.35657291,XMM,J014700.2+612123,-0.7,0.2,1.0,7.29e-12,4e-14,4e-14,4.46e-13,8e-15,8e-15,1.58e-12,1e-14,1e-14,5.26e-12,4e-14,4e-14,0.56,0.008,0.008,0.538,0.007,0.007,Gaia DR3 511220031584305536,0.328,15.15,1.03,0.02,0.184,64.95,1.352,11.215,0.003,11.63,0.006,10.6,0.005,,3.308e-10,9e-13,9e-13,2752.0,138.0,163.0,9.9,0.03,9.7,0.04,9.49,0.02,9.31,0.02,9.15,0.02,8.63,0.02,7.8,0.2,,13.5,0.7,0.8,6.60243e+33,6.636347e+32,7.8249764e+32,0.022,0.0001,0.0001,0,HMXB,3,-0.4150000000000009,0.6150000000000002,1.3149999999999995,1.7249999999999996,1.0300000000000011,0.20000000000000107,0.41000000000000014,0.20999999999999908,0.16000000000000014,0.6799999999999997,0.5199999999999996,1.5100000000000007
V782 Cas,B6IIe,32.18933803,65.03740815,XMM,J020845.4+650214,,,,4.6e-12,2e-13,2e-13,7e-15,3e-15,3e-15,5.6e-14,5e-15,5e-15,4.5e-12,2e-13,2e-13,0.8,0.1,0.1,0.98,0.07,0.07,Gaia DR3 515475966217148160,1.1826,35.45,3.95,0.03,0.319,110.3,1.874,7.489,0.003,7.696,0.005,7.084,0.006,,1.023e-08,3e-11,3e-11,832.0,20.0,28.0,6.66,0.04,6.45,0.02,6.2,0.02,6.0,0.1,5.47,0.05,4.84,0.01,4.11,0.02,,15.6,0.4,0.5,3.7967536e+32,2.574552e+31,3.1465638e+31,0.00045,2e-05,2e-05,0,GCA,4,-0.20699999999999985,0.40500000000000025,0.8289999999999997,1.2889999999999997,0.6120000000000001,0.20999999999999996,0.45999999999999996,0.25,0.5300000000000002,1.1600000000000001,0.6299999999999999,1.8899999999999997
BD+56 511,B3IIIe,34.69973763,57.06727045,CXO,J021847.9+570402,,,,2e-16,1e-16,5e-16,7e-17,7e-17,7e-17,1.5e-16,9e-17,8e-17,1e-20,1e-20,5.0324e-16,0.4,0.5,0.5,-1.0,3.4,3.5,Gaia DR3 458368603583940352,0.3865,20.89,1.02,0.02,0.109,17.83,1.121,9.02,0.003,9.215,0.003,8.656,0.004,,2.498e-09,6e-12,6e-12,2432.0,97.0,79.0,8.3,0.04,8.19,0.05,8.1,0.02,7.9,0.03,7.78,0.02,7.29,0.02,6.58,0.07,,11.8,0.5,0.4,1.5684318e+29,7.950862e+28,3.644044e+29,9e-08,4e-08,2.1e-07,0,star,,-0.19500000000000028,0.363999999999999,0.7199999999999989,0.9199999999999999,0.5589999999999993,0.11000000000000121,0.20000000000000107,0.08999999999999986,0.1200000000000001,0.6100000000000003,0.4900000000000002,1.3200000000000003
Cl* NGC 869 LAV 1039,B3e,34.78595534,57.06360188,CXO,J021908.6+570348,,,,6e-16,2e-16,3e-16,3e-16,2e-16,1e-16,3e-16,1e-16,1e-16,1e-20,1e-20,2.9606e-16,-0.1,0.3,0.3,-1.0,1.2,1.2,Gaia DR3 458368427480032128,0.4988,7.48,1.17,0.06,0.599,665.3,4.911,12.309,0.003,12.52,0.003,11.834,0.004,,1.208e-10,3e-13,3e-13,2085.0,306.0,399.0,11.19,0.03,10.9,0.03,10.69,0.02,10.28,0.07,10.01,0.02,9.07,0.03,8.1,0.2,,12.0,2.0,2.0,3.2444105e+29,1.3656936e+29,2.194554e+29,5e-06,2e-06,3e-06,0,star,,-0.2110000000000003,0.47499999999999964,1.1189999999999998,1.6189999999999998,0.6859999999999999,0.28999999999999915,0.5,0.21000000000000085,0.2699999999999996,1.209999999999999,0.9399999999999995,2.1799999999999997
NGC 869 1164,A0e,34.80957273,57.18469275,CXO,J021914.3+571104,,,,2.4e-15,5e-16,4e-16,1.2e-15,2e-16,2e-16,7e-16,2e-16,2e-16,5e-16,3e-16,3e-16,-0.3,0.2,0.2,-0.2,0.3,0.3,Gaia DR3 458375338092496128,0.2948,9.09,1.45,0.03,0.235,40.58,2.133,13.658,0.003,13.967,0.003,13.166,0.004,10397.0,3.486e-11,9e-14,9e-14,3087.0,256.0,299.0,12.56,0.04,12.42,0.05,12.26,0.04,12.06,0.02,12.1,0.02,,,,,,21.0,2.0,2.0,2.7033262e+30,6.8488564e+29,7.251465e+29,7e-05,1e-05,1e-05,1,star,,-0.30900000000000105,0.4919999999999991,1.097999999999999,1.3979999999999997,0.8010000000000002,0.14000000000000057,0.3000000000000007,0.16000000000000014,-0.03999999999999915,,,
HD 14162,Be,34.86444028,57.13823122,CXO,J021927.4+570817,,,,5e-16,1e-16,4e-16,3e-16,1e-16,1e-16,2.2e-16,9e-17,9e-17,1e-20,1e-20,3.7468e-16,-0.1,0.3,0.3,-1.0,1.8,1.8,Gaia DR3 458374891415941120,0.4006,27.33,1.24,0.01,0.084,11.49,0.952,9.286,0.003,9.48,0.003,8.927,0.004,19463.0,1.957e-09,5e-12,5e-12,2349.0,92.0,76.0,8.59,0.03,8.52,0.03,8.53,0.02,8.46,0.02,8.51,0.02,8.52,0.03,8.4,0.3,,13.8,0.6,0.5,3.1777597e+29,9.885328e+28,2.6600624e+29,2.5e-07,7e-08,2.1e-07,0,star,,-0.19400000000000084,0.359,0.6959999999999997,0.7560000000000002,0.5530000000000008,0.07000000000000028,0.0600000000000005,-0.009999999999999787,-0.049999999999998934,-0.05999999999999872,-0.009999999999999787,0.0600000000000005
Cl* NGC 884 LAV 1703,B2e,35.35384165,57.19789807,XMM,J022125.0+571147,,,,1.3e-14,4e-15,4e-15,1e-16,3e-16,3e-16,3e-16,2e-16,2e-16,1.2e-14,4e-15,4e-15,0.7,1.1,1.1,1.0,0.4,0.4,Gaia DR3 458454537288962944,0.4446,39.43,1.47,0.01,0.062,7.337,0.922,12.101,0.003,12.337,0.004,11.692,0.005,,1.464e-10,4e-13,4e-13,2108.0,39.0,44.0,11.23,0.02,11.03,0.03,10.82,0.02,10.51,0.02,10.26,0.02,9.4,0.03,8.6,0.3,,14.7,0.3,0.3,6.6960576e+30,2.1521498e+30,2.1563844e+30,9e-05,3e-05,3e-05,0,star,,-0.23599999999999888,0.4090000000000007,0.8710000000000004,1.2810000000000006,0.6449999999999996,0.20000000000000107,0.41000000000000014,0.20999999999999908,0.25,1.1099999999999994,0.8599999999999994,1.9100000000000001
