Be_star,Type,RA,DEC,Xcat,Xidentifier,Gamma,e_Gamma,E_Gamma,Fb,e_Fb,E_Fb,Fs,e_Fs,E_Fs,Fm,e_Fm,E_Fm,Fh,e_Fh,E_Fh,HRms,e_HRms,E_HRms,HRhm,e_HRhm,E_HRhm,DR3Name,Plx,RPlx,PM,e_PM,epsi,sepsi,RUWE,G,e_G,BP,e_BP,RP,e_RP,Teff,Gflux,e_Gflux,E_Gflux,dist,e_dist,E_dist,J,e_J,H,e_H,K,e_K,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Vsini,Vtran,e_Vtran,E_Vtran,LX,e_LX,E_LX,fX2O,e_fX2O,E_fX2O,match_flag,Class,ref,G-BP,G-RP,G-J,G-K,BP-RP,J-H,J-K,H-K,W1-W2,W1-W3,W2-W3,W1-W4
NGC 884 2079,Be,35.429299,57.3082486,XMM,J022142.9+571830,,,,4e-15,2e-15,2e-15,2.1e-15,6e-16,6e-16,1e-15,4e-16,4e-16,1e-15,2e-15,2e-15,-0.4,0.3,0.3,-0.2,1.3,1.3,Gaia DR3 458459691249627776,1.5438,84.13,8.77,0.02,0.126,22.95,1.281,9.324,0.003,9.809,0.003,8.658,0.004,,1.888e-09,5e-12,5e-12,637.0,6.0,8.0,7.7,0.02,7.22,0.04,7.12,0.02,6.89,0.07,7.06,0.02,7.01,0.02,6.93,0.09,,26.5,0.3,0.3,1.7748837e+29,9.929986e+28,9.935053e+28,2e-06,1e-06,1e-06,0,star,,-0.48499999999999943,0.6660000000000004,1.6239999999999997,2.2039999999999997,1.1509999999999998,0.4800000000000004,0.5800000000000001,0.09999999999999964,-0.16999999999999993,-0.1200000000000001,0.04999999999999982,-0.040000000000000036
V615 Cas,B0Ve,40.13193126,61.22933051,CXO,J024031.6+611345,1.54,0.02,0.02,2.25e-12,4e-14,3e-14,5.2e-14,3e-15,3e-15,2.11e-13,6e-15,6e-15,1.99e-12,4e-14,3e-14,0.61,0.03,0.03,0.81,0.02,0.02,Gaia DR3 465645515129855872,0.3776,29.11,0.49,0.01,0.07,8.108,0.927,10.402,0.003,10.957,0.004,9.674,0.005,,7e-10,2e-12,2e-12,2504.0,68.0,72.0,8.62,0.02,8.23,0.02,7.92,0.02,7.59,0.03,7.41,0.02,6.96,0.02,6.55,0.07,,5.9,0.2,0.2,1.6885036e+33,9.508799e+31,1.0081206e+32,0.00322,5e-05,5e-05,0,HMGB,3,-0.5550000000000015,0.7279999999999998,1.782,2.4819999999999993,1.2830000000000013,0.3899999999999988,0.6999999999999993,0.3100000000000005,0.17999999999999972,0.6299999999999999,0.4500000000000002,1.04
IPHAS J024504.86+612502.1,B7IV,41.27022976,61.41723083,XMM,J024505.2+612502,,,,1.1e-14,1e-14,1e-14,0.0,1e-15,1e-15,8e-15,2e-15,2e-15,3e-15,1e-14,1e-14,0.9,0.4,0.4,-0.4,1.0,1.0,Gaia DR3 465718117256659328,0.0564,2.03,0.96,0.03,0.0,0.0,0.996,15.441,0.003,15.967,0.003,14.726,0.004,,6.75e-12,2e-14,2e-14,,,,13.81,0.02,13.47,0.03,13.25,0.03,13.04,0.03,12.89,0.03,12.2,,8.89,,,,,,,,,0.002,0.001,0.001,0,star,,-0.5259999999999998,0.7149999999999999,1.6310000000000002,2.1910000000000007,1.2409999999999997,0.33999999999999986,0.5600000000000005,0.22000000000000064,0.14999999999999858,0.8399999999999999,0.6900000000000013,4.149999999999999
HD 18552,B8Vne,45.04963939,38.13162277,XMM,J030011.8+380754,,,,3.29e-13,8e-15,8e-15,2.14e-13,6e-15,6e-15,8e-14,3e-15,3e-15,3.6e-14,4e-15,4e-15,-0.45,0.02,0.02,-0.38,0.05,0.05,Gaia DR3 142394903351844352,4.463,78.61,30.0,0.06,0.396,190.1,1.311,6.084,0.003,6.059,0.003,6.079,0.004,,3.733e-08,1e-10,1e-10,222.0,3.0,2.0,6.13,0.02,6.13,0.02,6.1,0.02,6.0,0.1,5.79,0.05,5.4,0.01,4.58,0.03,288.0,31.6,0.4,0.3,1.9479964e+30,6.516102e+28,5.9511116e+28,8.8e-06,2e-07,2e-07,0,star,,0.024999999999999467,0.004999999999999893,-0.04600000000000026,-0.016000000000000014,-0.019999999999999574,0.0,0.03000000000000025,0.03000000000000025,0.20999999999999996,0.5999999999999996,0.3899999999999997,1.42
HD 19818,B9.5Vne,47.1086918,-59.37364393,XRT,177291,2.3,1.0,0.6,8.2e-13,6e-14,6e-14,3.4e-13,4e-14,4e-14,1.6e-13,2e-14,2e-14,3.2e-13,4e-14,4e-14,-0.35,0.1,0.1,0.32,0.09,0.09,Gaia DR3 4723685987981062656,3.3128,140.94,17.21,0.03,0.233,59.77,0.861,9.027,0.003,9.097,0.003,8.858,0.004,,2.483e-09,6e-12,6e-12,301.0,2.0,2.0,8.49,0.02,8.23,0.05,8.11,0.03,8.04,0.02,8.04,0.02,7.88,0.02,7.6,0.1,,24.5,0.2,0.2,8.925068e+30,6.579382e+29,6.591505e+29,0.00033,2e-05,2e-05,0,star,,-0.07000000000000028,0.1689999999999987,0.536999999999999,0.9169999999999998,0.238999999999999,0.2599999999999998,0.3800000000000008,0.120000000000001,0.0,0.15999999999999925,0.15999999999999925,0.4399999999999995
GSC 02342-00359,B5e,52.29341706,31.36639996,CXO,J032910.3+312159,3.2,0.1,0.1,2.8e-13,1e-14,1e-14,1.3e-14,1e-15,1e-15,7.7e-14,3e-15,3e-15,1.94e-13,1e-14,1e-14,0.72,0.05,0.05,0.43,0.04,0.04,Gaia DR3 121406360248113920,3.3957,6.21,20.1,0.5,2.901,1861.0,2.889,14.608,0.004,15.45,0.01,12.491,0.008,,1.453e-11,5e-14,5e-14,312.0,39.0,62.0,9.37,0.03,7.99,0.03,7.17,0.02,6.37,0.01,5.761,0.008,,,,,,30.0,4.0,6.0,3.316734e+30,8.4586945e+29,1.3163229e+30,0.0196,0.0008,0.0007,1,YSO,1,-0.8419999999999987,2.117000000000001,5.238000000000001,7.438000000000001,2.9589999999999996,1.379999999999999,2.1999999999999993,0.8200000000000003,0.609,,,
BQ Cam,Be,53.74962972,53.17313998,CXO,J033459.9+531023,,,,2.3e-14,7e-15,7e-15,1e-15,1e-15,1e-15,1e-14,3e-15,3e-15,1.2e-14,7e-15,7e-15,0.8,0.4,0.4,0.1,0.3,0.3,Gaia DR3 444752973131169664,0.1343,6.67,0.52,0.02,0.0,0.0,1.07,14.2,0.003,15.475,0.005,13.087,0.006,,2.117e-11,7e-14,7e-14,5584.0,506.0,731.0,11.82,0.02,11.21,0.03,10.74,0.03,9.97,0.02,9.71,0.02,9.08,0.03,8.5,0.3,,14.0,1.0,2.0,8.55091e+31,3.178344e+31,3.5645582e+31,0.0011,0.0004,0.0004,0,HMXB,3,-1.2750000000000004,1.1129999999999995,2.379999999999999,3.459999999999999,2.388,0.6099999999999994,1.08,0.47000000000000064,0.2599999999999998,0.8900000000000006,0.6300000000000008,1.4700000000000006
MEROPE,B6IVe,56.58167145,23.94814381,CXO,J034619.6+235653,8.7,0.8,0.9,2e-13,1e-14,1e-14,1.8e-13,1e-14,9e-15,2.2e-14,3e-15,3e-15,1e-20,1e-20,4.36435e-15,-0.78,0.06,0.06,-1.0,0.3,0.3,Gaia DR3 65205373152172032,7.067,24.69,50.1,0.2,1.505,3081.0,2.33,4.173,0.004,4.148,0.003,4.159,0.005,,2.171e-07,7e-10,7e-10,143.0,5.0,6.0,4.2,0.2,4.3,0.2,4.22,0.02,4.3,0.2,4.0,0.1,4.16,0.01,2.99,0.04,240.0,34.0,1.0,1.0,4.9266545e+29,4.543826e+28,4.891188e+28,9.3e-07,5e-08,5e-08,0,star,,0.025000000000000355,0.014000000000000234,-0.027000000000000135,-0.04699999999999971,-0.01100000000000012,-0.09999999999999964,-0.019999999999999574,0.08000000000000007,0.2999999999999998,0.13999999999999968,-0.16000000000000014,1.3099999999999996
Menkhib,O7.5IIIe,59.74126439,35.79104207,XMM,J035857.8+354728,,,,2.494e-12,5e-15,5e-15,2.053e-12,5e-15,5e-15,3.94e-13,2e-15,2e-15,4.7e-14,1e-15,1e-15,-0.678,0.002,0.002,-0.786,0.006,0.006,Gaia DR3 219375904303684224,2.4457,9.35,2.7,0.2,1.328,3186.0,2.236,3.975,0.003,3.97,0.003,3.889,0.004,21760.0,2.605e-07,8e-10,8e-10,418.0,39.0,58.0,4.0,0.3,4.1,0.2,3.95,0.04,4.0,0.3,3.7,0.2,3.95,0.01,3.76,0.03,213.0,5.4,0.7,0.9,5.207105e+31,9.730655e+30,1.4488581e+31,9.57e-06,4e-08,4e-08,0,star,,0.004999999999999893,0.0860000000000003,-0.02499999999999991,0.02499999999999991,0.0810000000000004,-0.09999999999999964,0.04999999999999982,0.14999999999999947,0.2999999999999998,0.04999999999999982,-0.25,0.2400000000000002
lam Eri,B2IVne,77.28660799,-8.75409389,XMM,J050908.8-084514,,,,7.8e-14,6e-15,6e-15,5.6e-14,4e-15,4e-15,1.5e-14,2e-15,2e-15,7e-15,4e-15,4e-15,-0.58,0.07,0.07,-0.4,0.2,0.2,Gaia DR3 3182891931108590336,3.6256,15.63,2.9,0.2,1.547,4507.0,2.283,4.243,0.003,4.117,0.003,4.386,0.005,,2.034e-07,6e-10,6e-10,275.0,16.0,21.0,4.9,0.2,4.83,0.08,4.71,0.02,4.7,0.2,4.3,0.1,4.07,0.01,3.65,0.02,318.0,3.7,0.3,0.4,7.059583e+29,9.633835e+28,1.1919943e+29,3.8e-07,3e-08,3e-08,0,star,,0.12600000000000033,-0.1429999999999998,-0.657,-0.46699999999999964,-0.26900000000000013,0.07000000000000028,0.1900000000000004,0.1200000000000001,0.40000000000000036,0.6299999999999999,0.22999999999999954,1.0500000000000003
RX J0516.0-6916,Be,78.99972484,-69.26894575,CXO,J051559.9-691609,1.1,0.3,0.3,2.4e-13,4e-14,3e-14,1.1e-14,4e-15,3e-15,2.7e-14,3e-15,3e-15,2.1e-13,4e-14,3e-14,0.4,0.1,0.1,0.8,0.2,0.2,Gaia DR3 4658196459798969856,0.0226,1.03,1.71,0.03,0.08,1.151,0.966,15.156,0.003,15.101,0.007,15.206,0.006,23340.0,8.78e-12,3e-14,3e-14,,,,15.35,0.08,15.1,0.1,13.92,,,,,,,,,,,,,,,,,0.028,0.004,0.004,0,HMXB,1,0.054999999999999716,-0.049999999999998934,-0.19399999999999906,1.2360000000000007,-0.10499999999999865,0.25,1.4299999999999997,1.1799999999999997,,,,
[HP99] 946,O8e,80.1244282,-69.53214435,XMM,J052029.9-693155,,,,9.4e-14,5e-15,5e-15,7.3e-15,6e-16,6e-16,6.9e-15,4e-16,4e-16,8e-14,5e-15,5e-15,-0.03,0.05,0.05,0.84,0.08,0.08,Gaia DR3 4658173851121043200,0.0323,1.76,1.85,0.02,0.0,0.0,0.828,14.386,0.003,14.367,0.004,14.342,0.005,35914.0,1.784e-11,5e-14,5e-14,,,,14.37,0.06,14.21,0.07,14.28,0.1,,,,,,,,,,,,,,,,0.0053,0.0003,0.0003,1,star,,0.01899999999999835,0.04399999999999871,0.016000000000000014,0.10599999999999987,0.025000000000000355,0.15999999999999837,0.08999999999999986,-0.06999999999999851,,,,
Cl* NGC 1893 CUF 3104,B1.5Ve,80.69202724,33.41604799,CXO,J052245.9+332458,2.2,0.2,0.3,1.4e-14,1e-15,1e-15,2.4e-15,3e-16,3e-16,3.2e-15,4e-16,3e-16,8e-15,1e-15,1e-15,0.15,0.09,0.09,0.5,0.1,0.1,Gaia DR3 181174025630479360,0.2958,12.77,1.54,0.02,0.0,0.0,1.03,13.85,0.003,14.062,0.004,13.459,0.005,14211.0,2.922e-11,8e-14,8e-14,2916.0,156.0,205.0,12.81,0.03,12.52,,12.38,,12.351,0.002,12.549,0.007,,,,,,21.0,1.0,2.0,1.4235336e+31,1.9763172e+30,2.3211454e+30,0.00048,4e-05,4e-05,1,star,,-0.21199999999999974,0.391,1.0399999999999991,1.4699999999999989,0.6029999999999998,0.2900000000000009,0.4299999999999997,0.1399999999999988,-0.19799999999999862,,,
eta Ori,B0.5Ve,81.11923705,-2.3971525,XMM,J052428.6-022349,,,,2.85e-13,9e-15,9e-15,2.74e-13,9e-15,9e-15,1.2e-14,1e-15,1e-15,0.0,2e-15,2e-15,-0.92,0.04,0.04,-1.0,0.3,0.3,Gaia DR3 3214077516844988800,1.5783,2.06,1.3,0.4,2.025,6196.0,12.236,3.615,0.008,3.49,0.02,3.71,0.03,18608.0,3.63e-07,3e-09,3e-09,,,,4.0,0.2,4.0,0.2,3.9,0.04,4.0,0.3,3.7,0.1,4.05,0.01,4.05,0.02,170.0,,,,,,,7.9e-07,3e-08,3e-08,0,star,,0.125,-0.09499999999999975,-0.3849999999999998,-0.2849999999999997,-0.21999999999999975,0.0,0.10000000000000009,0.10000000000000009,0.2999999999999998,-0.04999999999999982,-0.34999999999999964,-0.04999999999999982
25 Ori,B1Vpe,81.18678543,1.8464469,CXO,J052444.8+015046,,,,2e-14,1e-14,1e-14,3e-15,2e-15,2e-15,5e-16,5e-16,6e-16,2e-14,1e-14,1e-14,-0.7,0.6,0.6,0.9,0.8,0.8,Gaia DR3 3222282691086558464,2.9321,24.05,1.1,0.1,0.823,1467.0,1.025,4.641,0.004,4.602,0.006,4.65,0.01,40070.0,1.41e-07,5e-10,5e-10,342.0,12.0,14.0,5.37,0.03,5.42,0.03,5.36,0.02,4.2,0.2,3.6,0.2,3.31,0.01,2.71,0.02,263.0,1.8,0.2,0.2,2.6902636e+29,1.4506851e+29,1.45504895e+29,1.4e-07,7e-08,7e-08,0,star,,0.0389999999999997,-0.009000000000000341,-0.7290000000000001,-0.7190000000000003,-0.04800000000000004,-0.04999999999999982,0.009999999999999787,0.05999999999999961,0.6000000000000001,0.8900000000000001,0.29000000000000004,1.4900000000000002
RX J0531.2-6609,B0.7Ve,82.80472161,-66.1185554,XMM,J053113.2-660707,,,,4.7e-12,5e-14,5e-14,1.02e-13,3e-15,3e-15,1.39e-13,2e-15,2e-15,4.46e-12,5e-14,5e-14,0.16,0.02,0.02,0.94,0.02,0.02,Gaia DR3 4660356557816810240,-0.0167,-0.8,1.69,0.03,0.118,3.607,0.936,14.88,0.003,14.785,0.004,14.954,0.006,28271.0,1.132e-11,3e-14,3e-14,,,,,,,,,,,,,,,,,,,,,,,,,0.415,0.005,0.005,0,star,,0.09500000000000064,-0.07399999999999984,,,-0.16900000000000048,,,,,,,
HD 36408,B7IIIe,83.05890332,17.05808603,XMM,J053214.2+170327,,,,4.1e-14,5e-15,5e-15,2.1e-14,2e-15,2e-15,7.6e-15,9e-16,9e-16,1.2e-14,4e-15,4e-15,-0.47,0.08,0.08,0.2,0.2,0.2,Gaia DR3 3397264537809127936,2.8515,51.51,11.3,0.05,0.327,236.4,1.18,6.062,0.003,6.055,0.003,6.022,0.004,,3.809e-08,1e-10,1e-10,345.0,6.0,7.0,5.96,0.02,6.02,0.02,6.02,0.03,6.3,0.1,6.23,0.07,5.91,0.03,3.49,0.03,300.0,18.5,0.3,0.4,5.843644e+29,6.913591e+28,6.9722714e+28,1.1e-06,1e-07,1e-07,0,star,,0.007000000000000561,0.040000000000000036,0.10200000000000031,0.0420000000000007,0.032999999999999474,-0.05999999999999961,-0.05999999999999961,0.0,0.0699999999999994,0.3899999999999997,0.3200000000000003,2.8099999999999996
RX J0535.0-6700,B0Ve,83.77490825,-67.00437898,XMM,J053505.5-670015,,,,9.8e-13,6e-14,6e-14,2e-15,1e-15,1e-15,1.9e-14,2e-15,2e-15,9.6e-13,6e-14,6e-14,0.8,0.2,0.2,0.96,0.09,0.09,Gaia DR3 4660245713290392448,-0.0051,-0.25,1.71,0.03,0.078,1.661,0.954,14.783,0.003,14.74,0.004,14.811,0.006,26144.0,1.238e-11,3e-14,3e-14,,,,14.88,0.05,14.78,0.08,14.46,0.1,14.4,0.03,14.34,0.03,13.38,,9.75,,,,,,,,,0.079,0.005,0.005,0,HMXB,1,0.04299999999999926,-0.02800000000000047,-0.09700000000000131,0.3229999999999986,-0.07099999999999973,0.10000000000000142,0.41999999999999993,0.3199999999999985,0.0600000000000005,1.0199999999999996,0.9599999999999991,4.65
V1230 Ori,B8IVve,83.83634877,-5.36232448,CXO,J053520.7-052144,2.64,0.03,0.03,8.86e-13,1e-14,9e-15,1.16e-13,2e-15,2e-15,2.2e-13,3e-15,3e-15,5.5e-13,9e-15,8e-15,0.31,0.01,0.01,0.43,0.01,0.01,Gaia DR3 3017365643879095040,2.4554,79.11,3.38,0.03,0.22,70.05,1.975,9.461,0.003,9.694,0.004,8.972,0.004,,1.665e-09,4e-12,4e-12,403.0,5.0,5.0,8.07,0.03,7.6,0.03,7.38,0.02,,,,,,,,,,6.46,0.09,0.1,1.7261085e+31,4.581871e+29,4.959273e+29,0.000532,6e-06,6e-06,0,YSO,1,-0.23300000000000054,0.48900000000000077,1.391,2.0810000000000004,0.7220000000000013,0.47000000000000064,0.6900000000000004,0.21999999999999975,,,,
43 Ori,O9.5Vpe,83.8454267,-5.41605398,CXO,J053522.8-052457,3.97,0.06,0.06,6.97e-13,7e-15,6e-15,4.42e-13,5e-15,5e-15,1.23e-13,2e-15,2e-15,1.33e-13,4e-15,4e-15,-0.57,0.01,0.01,0.04,0.02,0.02,Gaia DR3 3017360936587007616,2.9728,13.92,2.6,0.1,1.433,4567.0,2.614,5.002,0.003,4.963,0.003,4.968,0.004,17766.0,1.012e-07,3e-10,3e-10,334.0,19.0,27.0,4.91,0.04,4.92,0.06,4.84,0.02,,,,,,,,,183.0,4.2,0.3,0.4,9.2965344e+30,1.04872766e+30,1.4972776e+30,6.89e-06,7e-08,7e-08,0,star,,0.0389999999999997,0.03399999999999981,0.09199999999999964,0.16199999999999992,-0.004999999999999893,-0.009999999999999787,0.07000000000000028,0.08000000000000007,,,,
RX J0535.6-6651,BIIIe,83.92084434,-66.86487937,XMM,J053541.0-665153,,,,5.5e-14,3e-15,3e-15,2.28e-14,1e-15,1e-15,1.18e-14,6e-16,6e-16,2e-14,3e-15,3e-15,-0.32,0.03,0.03,0.26,0.08,0.08,Gaia DR3 4660250867252215424,0.2612,2.66,2.3,0.1,1.171,297.8,4.295,15.026,0.004,14.836,0.01,15.103,0.007,27923.0,9.89e-12,4e-14,4e-14,,,,15.15,0.05,15.1,0.1,15.74,,15.26,0.04,15.43,0.05,13.58,,9.82,,,,,,,,,0.0055,0.0003,0.0003,1,HMXB,1,0.1899999999999995,-0.07699999999999996,-0.12400000000000055,-0.7140000000000004,-0.26699999999999946,0.05000000000000071,-0.5899999999999999,-0.6400000000000006,-0.16999999999999993,1.6799999999999997,1.8499999999999996,5.4399999999999995
V725 Tau,O9.7IIe,84.72739246,26.31577524,CXO,J053854.5+261856,0.56,0.03,0.03,3.2e-12,4e-14,4e-14,6.5e-14,3e-15,3e-15,2.31e-13,5e-15,5e-15,2.9e-12,4e-14,4e-14,0.56,0.02,0.02,0.85,0.02,0.02,Gaia DR3 3441207615229815040,0.5245,22.56,2.94,0.02,0.123,25.19,1.285,8.602,0.003,8.988,0.003,8.01,0.006,41504.0,3.672e-09,1e-11,1e-11,1793.0,72.0,76.0,8.37,0.02,8.27,0.03,8.16,0.03,7.11,0.05,6.93,0.02,6.17,0.01,5.21,0.04,,25.0,1.0,1.0,1.23008384e+33,9.992404e+31,1.0578391e+32,0.00087,1e-05,1e-05,0,HMXB,3,-0.38599999999999923,0.5920000000000005,0.2320000000000011,0.44200000000000017,0.9779999999999998,0.09999999999999964,0.20999999999999908,0.10999999999999943,0.1800000000000006,0.9400000000000004,0.7599999999999998,1.9000000000000004
AX J0544.1-7100,Be,86.0217085,-71.01410266,XRT,154946,3.6,0.5,1.2,8e-14,2e-14,2e-14,6e-14,2e-14,2e-14,1.1e-14,3e-15,3e-15,7e-15,2e-15,2e-15,-0.7,0.3,0.3,-0.2,0.2,0.2,Gaia DR3 4657045928301192320,0.0382,1.56,2.13,0.03,0.0,0.0,0.932,15.308,0.008,15.33,0.02,15.24,0.03,25301.0,7.63e-12,5e-14,5e-14,,,,15.13,0.06,15.02,0.09,15.2,0.2,14.37,0.03,14.43,0.04,12.0,0.1,10.0,0.5,,,,,,,,0.01,0.002,0.002,0,HMXB,1,-0.02200000000000024,0.06799999999999962,0.17799999999999905,0.10800000000000054,0.08999999999999986,0.11000000000000121,-0.06999999999999851,-0.17999999999999972,-0.0600000000000005,2.369999999999999,2.4299999999999997,4.369999999999999
HD 42054,B4IVe,91.76530034,-34.31202308,XMM,J060703.6-341843,,,,2.56e-12,3e-14,3e-14,7.3e-13,1e-14,1e-14,5.47e-13,8e-15,8e-15,1.28e-12,3e-14,3e-14,-0.14,0.01,0.01,0.4,0.02,0.02,Gaia DR3 2886603749632817792,3.4337,62.48,2.02,0.05,0.463,320.6,1.167,5.764,0.003,5.709,0.003,5.802,0.006,,5.01e-08,1e-10,1e-10,290.0,4.0,5.0,5.87,0.02,5.84,0.03,5.7,0.02,5.8,0.1,5.48,0.05,4.99,0.01,4.24,0.02,,2.78,0.08,0.08,2.574195e+31,7.929727e+29,9.434037e+29,5.1e-05,7e-07,7e-07,0,GCA,5,0.055000000000000604,-0.03799999999999937,-0.10599999999999987,0.06400000000000006,-0.09299999999999997,0.03000000000000025,0.16999999999999993,0.13999999999999968,0.3199999999999994,0.8099999999999996,0.4900000000000002,1.5599999999999996
HD 43285,B5IVe,93.91739997,6.06609278,XMM,J061540.1+060358,,,,1.11e-13,5e-15,5e-15,8.1e-14,4e-15,4e-15,2.2e-14,2e-15,2e-15,8e-15,2e-15,2e-15,-0.57,0.05,0.05,-0.5,0.1,0.1,Gaia DR3 3318793251929855616,4.6484,75.58,17.05,0.09,0.349,124.2,0.956,6.044,0.003,5.972,0.003,6.138,0.004,13624.0,3.87e-08,1e-10,1e-10,213.0,3.0,3.0,6.28,0.03,6.34,0.04,6.38,0.03,6.34,0.08,6.34,0.03,6.45,0.01,6.41,0.07,260.0,17.2,0.3,0.2,6.0379063e+29,3.1754574e+28,3.0881044e+28,2.9e-06,1e-07,1e-07,0,star,,0.07199999999999918,-0.0940000000000003,-0.23600000000000065,-0.3360000000000003,-0.16599999999999948,-0.05999999999999961,-0.09999999999999964,-0.040000000000000036,0.0,-0.11000000000000032,-0.11000000000000032,-0.07000000000000028
FR CMa,B1Vpe,95.35297527,-11.7732353,XMM,J062124.6-114623,,,,1.61e-12,2e-14,2e-14,2.71e-13,6e-15,6e-15,3.05e-13,5e-15,5e-15,1.03e-12,2e-14,2e-14,0.06,0.01,0.01,0.54,0.02,0.02,Gaia DR3 3001108264938556800,1.8635,31.22,2.57,0.05,0.33,154.7,0.823,5.531,0.005,5.55,0.01,5.42,0.01,34123.0,6.21e-08,3e-10,3e-10,530.0,18.0,21.0,5.76,0.04,5.64,0.03,5.48,0.02,5.0,0.2,4.54,0.07,3.94,0.01,3.07,0.02,242.0,6.5,0.3,0.3,5.419281e+31,3.7778436e+30,4.4515106e+30,2.59e-05,4e-07,4e-07,0,GCA,4,-0.019000000000000128,0.11099999999999977,-0.2290000000000001,0.05099999999999927,0.1299999999999999,0.1200000000000001,0.27999999999999936,0.15999999999999925,0.45999999999999996,1.06,0.6000000000000001,1.9300000000000002
PZ Gem,O9pe,96.81574007,14.8892235,XMM,J062715.8+145321,,,,1.85e-13,5e-15,5e-15,3.5e-14,1e-15,1e-15,3.24e-14,9e-16,9e-16,1.17e-13,5e-15,5e-15,-0.04,0.02,0.02,0.57,0.04,0.04,Gaia DR3 3356755643227139584,1.1281,30.65,0.88,0.04,0.268,81.88,1.297,6.55,0.01,6.68,0.03,6.31,0.04,36246.0,2.43e-08,3e-10,3e-10,864.0,27.0,29.0,5.91,0.02,5.76,0.02,5.53,0.02,5.3,0.2,4.83,0.08,4.25,0.01,3.63,0.02,,3.6,0.2,0.2,1.6497966e+31,1.1173492e+30,1.1881797e+30,7.6e-06,2e-07,2e-07,0,GCA,2,-0.1299999999999999,0.2400000000000002,0.6399999999999997,1.0199999999999996,0.3700000000000001,0.15000000000000036,0.3799999999999999,0.22999999999999954,0.46999999999999975,1.0499999999999998,0.5800000000000001,1.67
HD 45995,B2Vnne,97.78985421,11.2513656,XMM,J063109.5+111504,,,,1.01e-12,5e-14,5e-14,1.9e-13,1e-14,1e-14,1.99e-13,1e-14,1e-14,6.2e-13,5e-14,5e-14,0.01,0.04,0.04,0.51,0.07,0.07,Gaia DR3 3328013928239036032,1.4952,22.74,3.52,0.06,0.363,140.9,1.271,6.059,0.005,6.02,0.01,6.06,0.03,19703.0,3.82e-08,2e-10,2e-10,658.0,28.0,28.0,6.04,0.02,5.97,0.04,5.78,0.02,5.9,0.1,5.49,0.06,4.77,0.01,3.87,0.02,255.0,11.0,0.5,0.5,5.24404e+31,5.20295e+30,5.246121e+30,2.6e-05,1e-06,1e-06,0,GCA,4,0.03900000000000059,-0.0009999999999994458,0.019000000000000128,0.2789999999999999,-0.040000000000000036,0.07000000000000028,0.2599999999999998,0.1899999999999995,0.41000000000000014,1.1300000000000008,0.7200000000000006,2.0300000000000002
Cl* NGC 2244 PS 26,B7Ve,97.87399685,4.91365105,CXO,J063129.7+045449,,,,4e-15,1e-15,1e-15,1.5e-15,4e-16,4e-16,7e-16,3e-16,2e-16,2e-15,1e-15,1e-15,-0.3,0.2,0.2,0.5,0.4,0.4,Gaia DR3 3131376718971741952,0.6626,37.44,2.09,0.02,0.086,8.508,1.094,12.281,0.003,12.461,0.005,11.938,0.007,,1.239e-10,4e-13,4e-13,1436.0,33.0,40.0,11.45,0.02,10.89,0.03,9.69,0.02,7.99,0.02,6.98,0.02,3.86,0.01,2.11,0.02,,14.2,0.3,0.4,1.055921e+30,3.0542716e+29,3.0483261e+29,3.5e-05,1e-05,1e-05,0,YSO,1,-0.17999999999999972,0.34299999999999997,0.8310000000000013,2.591000000000001,0.5229999999999997,0.5599999999999987,1.7599999999999998,1.200000000000001,1.0099999999999998,4.130000000000001,3.1200000000000006,5.880000000000001
Cl* NGC 2244 JOHN 33,B6Vne,98.06450416,4.92233204,CXO,J063215.4+045520,,,,7e-15,1e-15,1e-15,1.3e-15,3e-16,3e-16,1.6e-15,4e-16,3e-16,4e-15,1e-15,1e-15,0.1,0.2,0.2,0.4,0.2,0.2,Gaia DR3 3131335036310165632,0.6008,26.63,1.74,0.02,0.127,18.32,1.169,11.884,0.003,12.065,0.003,11.553,0.004,13535.0,1.787e-10,5e-13,5e-13,1528.0,46.0,51.0,11.15,0.02,11.0,0.02,10.96,0.02,10.86,0.02,10.88,0.02,10.5,0.2,7.8,,,12.6,0.4,0.4,1.8714772e+30,3.618774e+29,3.4848163e+29,3.7e-05,7e-06,7e-06,0,YSO,1,-0.18099999999999916,0.3309999999999995,0.734,0.9239999999999995,0.5119999999999987,0.15000000000000036,0.1899999999999995,0.03999999999999915,-0.02000000000000135,0.35999999999999943,0.3800000000000008,3.0599999999999996
HD 259440,B0pe,98.24690242,5.80032053,XMM,J063259.2+054801,1.45,0.02,0.02,3.98e-13,8e-15,8e-15,2.4e-14,1e-15,1e-15,5.3e-14,1e-15,1e-15,3.21e-13,8e-15,8e-15,0.39,0.02,0.02,0.72,0.03,0.03,Gaia DR3 3131822364779745536,0.5404,23.88,0.43,0.02,0.102,10.64,1.095,8.88,0.003,9.236,0.003,8.31,0.004,41272.0,2.843e-09,7e-12,7e-12,1773.0,87.0,93.0,7.64,0.02,7.39,0.05,6.97,0.02,6.55,0.08,6.12,0.03,5.34,0.01,4.53,0.03,,3.6,0.2,0.2,1.4973729e+32,1.4972776e+31,1.6051598e+31,0.00014,3e-06,3e-06,0,HMGB,1,-0.35599999999999987,0.5700000000000003,1.240000000000001,1.910000000000001,0.9260000000000002,0.25,0.6699999999999999,0.41999999999999993,0.4299999999999997,1.21,0.7800000000000002,2.0199999999999996
