source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
6053069861787488512,183.27015244462356,-64.91725373874624,0.3066700495776038,-7.186889387527122,1.729881596490217,1.0460843,17.50813,2.0793324,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4514.0938,4.3202,-0.9935,899.1658,2.3458,1.6945,0.9269,"EXMS B1210-645",183.27083333333326,-64.91666666666667,0.0,0.0,0.0,0.0,2000.0,6.541960621048467E-4
6053069866119210240,183.2690097572373,-64.91717766173605,,,,,20.847055,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,,"EXMS B1210-645",183.27083333333326,-64.91666666666667,0.0,0.0,0.0,0.0,2000.0,9.266911741640434E-4
6053069866119210368,183.26951282688157,-64.91679301664567,0.39222273562969473,-3.585507133949759,-3.706617934183014,1.0351337,20.07159,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,,"EXMS B1210-645",183.27083333333326,-64.91666666666667,0.0,0.0,0.0,0.0,2000.0,5.738904993204189E-4
6053069866119210496,183.26838596449957,-64.91718732614578,-0.002794462663558872,-7.40880567685675,1.226660526793238,1.0789844,18.25862,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,,"EXMS B1210-645",183.27083333333326,-64.91666666666667,0.0,0.0,0.0,0.0,2000.0,0.0011608312371790151
6053069866119211392,183.27137383867702,-64.9175445029714,0.5421087697522222,-4.7085829726881725,1.0063170898259612,1.050806,19.413967,1.2911968,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,,"EXMS B1210-645",183.27083333333326,-64.91666666666667,0.0,0.0,0.0,0.0,2000.0,9.072485026989415E-4
6053069866119220992,183.27262635388556,-64.91616820911288,-0.14059837755219845,-5.105742645080047,1.4076664252031155,1.013816,18.508305,1.2633171,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4860.122,4.8774,-3.6296,1410.6826,0.5413,0.4248,0.2341,"EXMS B1210-645",183.27083333333326,-64.91666666666667,0.0,0.0,0.0,0.0,2000.0,9.089896086405644E-4
5863533199843070208,195.3211964950643,-61.601844813228226,0.5395135891716509,-4.340692264055244,-0.236113209203886,1.0172129,12.647679,2.4327269,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,,"GX 304-1",195.32123705883998,-61.60184376383,0.5395,-4.341,-0.236,0.0,2000.0,1.4623315658588617E-9
5878381206706460928,218.2734010270544,-61.206302875071124,0.40774942778134615,-1.865701522324689,-1.1069339824043851,1.1062721,17.175306,2.0335312,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,,"IGR J14331-6112",218.27583333333334,-61.20638888888889,0.0,0.0,0.0,0.0,2000.0,0.0011746897169426956
5878381206706464000,218.27642065601515,-61.20532777083064,0.44871160859282194,-5.1061205235940825,-2.2492054069001,1.026896,17.365084,1.5811558,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5022.0825,4.7264,-1.0484,888.7866,1.2631,0.9785,0.5336,"IGR J14331-6112",218.27583333333334,-61.20638888888889,0.0,0.0,0.0,0.0,2000.0,0.0010981801080691845
5884544931471259136,238.59067450082784,-55.32898953059539,0.7315774313408016,-3.1236747705391017,-3.2225953484639502,0.92971206,8.689341,0.8984709,,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,41286.676,4.0673,-0.9957,1477.535,2.675,2.4967,1.3789,"1H 1555-552",238.59069890562003,-55.32897520795,0.7316,-3.124,-3.223,0.0,2000.0,2.3084556367956943E-9
